과목코드-분반,과목명,2019_1_1학년,2019_1_2학년,2019_1_3학년,2019_1_4학년
CSE4110-01,데이터베이스시스템,쿼터없음,쿼터없음,1 : 0.95,1 : 1.47
CSE4115-01,소프트웨어공학,쿼터없음,쿼터없음,1 : 0.16,1 : 0.51
CSE4116-01,임베디드시스템소프트웨어,쿼터없음,쿼터없음,쿼터없음,1 : 2.00
CSE4120-01,기초컴파일러구성,쿼터없음,쿼터없음,1 : 0.18,1 : 0.52
CSE4170-01,기초컴퓨터그래픽스,쿼터없음,쿼터없음,1 : 0.60,1 : 0.44
CSE4175-01,기초컴퓨터네트워크,쿼터없음,쿼터없음,1 : 0.85,1 : 0.64
CSE4175-02,기초컴퓨터네트워크,쿼터없음,쿼터없음,1 : 0.85,1 : 0.64
CSE4186-01,캡스톤디자인I,쿼터없음,쿼터없음,1 : 0.30,1 : 0.70
CSE4186-02,캡스톤디자인I,쿼터없음,쿼터없음,신청없음,1 : 0.13
CSE4187-01,캡스톤디자인II,쿼터없음,쿼터없음,쿼터없음,1 : 0.30
CSE4188-01,암호학기초,쿼터없음,쿼터없음,1 : 0.47,1 : 0.40
CSEQ981-01,컴퓨터교과교육론,신청없음,신청없음,신청없음,1 : 0.03
CSW1010-01,IT개론,쿼터없음,쿼터없음,1 : 0.27,1 : 0.29
CSW2010-01,기초C언어,1 : 0.03,1 : 3.10,1 : 0.97,1 : 0.13
CSW2010-02,기초C언어,신청없음,1 : 1.50,1 : 0.63,1 : 0.17
CSW3010-01,알고리즘입문,신청없음,1 : 0.10,1 : 0.63,1 : 1.18
CSW3020-01,운영체제입문,신청없음,1 : 0.15,1 : 0.57,1 : 1.03
CSW3040-01,소프트웨어공학입문,신청없음,1 : 0.05,1 : 0.05,1 : 0.37
CSW3050-01,언어와통계,1 : 0.02,신청없음,1 : 0.23,1 : 0.21
CSW3070-01,문화산업과스토리텔링,신청없음,1 : 0.10,1 : 0.17,1 : 0.11
CSW4020-01,정보처리및자연언어처리,신청없음,1 : 0.10,1 : 0.48,1 : 0.34
ECO2001-01,경제학원론I,1 : 0.16,1 : 1.73,1 : 0.50,1 : 0.60
ECO2001-02,경제학원론I,1 : 0.16,1 : 2.88,1 : 3.80,1 : 1.50
ECO2001-03,경제학원론I,신청없음,1 : 0.13,1 : 0.08,1 : 0.05
ECO2001-04,경제학원론I,1 : 0.40,1 : 1.67,1 : 1.40,1 : 0.70
ECO2001-05,경제학원론I,1 : 0.02,1 : 0.30,1 : 0.10,1 : 0.08
ECO2001-06,경제학원론I,1 : 0.14,1 : 0.33,1 : 0.23,1 : 0.06
ECO2001-07,경제학원론I,1 : 0.10,1 : 2.76,1 : 1.60,1 : 0.75
ECO2001-08,경제학원론I,1 : 0.09,1 : 0.53,1 : 0.17,신청없음
ECO2001-09,경제학원론I,1 : 0.02,1 : 0.20,1 : 0.09,1 : 0.05
ECO2002-01,경제학원론II,1 : 0.33,1 : 1.77,1 : 1.90,1 : 0.60
ECO2002-02,경제학원론II,1 : 0.06,1 : 1.67,1 : 1.40,1 : 0.60
ECO2002-03,경제학원론II,1 : 0.12,1 : 1.03,1 : 1.20,1 : 0.30
ECO2002-04,경제학원론II,1 : 0.11,1 : 1.43,1 : 1.30,1 : 0.40
ECO2003-01,경제수리기초,1 : 0.02,1 : 0.13,1 : 0.56,1 : 0.33
ECO2003-02,경제수리기초,1 : 0.09,1 : 1.80,1 : 4.33,1 : 3.00
ECO2004-01,경제통계학,1 : 0.04,1 : 0.23,1 : 0.31,1 : 0.08
ECO2004-02,경제통계학,신청없음,1 : 0.15,1 : 0.12,1 : 0.06
ECO2004-03,경제통계학,1 : 0.42,1 : 0.72,1 : 0.78,1 : 0.50
ECO2006-01,미시경제학I,쿼터없음,1 : 0.36,1 : 0.27,1 : 0.14
ECO2006-02,미시경제학I,쿼터없음,1 : 0.14,1 : 0.16,1 : 0.06
ECO2006-03,미시경제학I,쿼터없음,1 : 0.77,1 : 0.75,1 : 1.09
ECO2006-04,미시경제학I,쿼터없음,1 : 1.23,1 : 1.33,1 : 3.00
ECO2007-01,거시경제학I,쿼터없음,1 : 0.26,1 : 0.40,1 : 0.11
ECO2007-02,거시경제학I,쿼터없음,1 : 0.28,1 : 0.19,1 : 0.25
ECO2007-03,거시경제학I,쿼터없음,1 : 0.60,1 : 0.45,1 : 0.21
ECO2008-01,수리경제학,쿼터없음,1 : 0.65,1 : 1.51,1 : 5.78
ECO2009-01,계량경제학I,쿼터없음,1 : 0.18,1 : 0.15,1 : 0.16
ECO2009-02,계량경제학I,쿼터없음,1 : 0.35,1 : 0.56,1 : 0.67
ECO2009-03,계량경제학I,쿼터없음,1 : 0.65,1 : 0.87,1 : 0.89
ECO3001-01,산업경제학,쿼터없음,1 : 0.20,1 : 0.55,1 : 1.12
ECO3002-01,노동경제학,쿼터없음,1 : 0.47,1 : 1.47,1 : 3.30
ECO3004-01,도시경제학,쿼터없음,신청없음,1 : 0.24,1 : 0.53
ECO3005-01,환경경제학,쿼터없음,1 : 0.07,1 : 0.18,1 : 0.28
ECO3008-01,금융경제학,쿼터없음,1 : 0.27,1 : 0.63,1 : 0.84
ECO3009-01,공공경제학,쿼터없음,1 : 0.27,1 : 0.87,1 : 1.65
ECO3010-01,국제무역론,쿼터없음,1 : 0.60,1 : 2.29,1 : 3.10
ECO3021-01,경제성장론,쿼터없음,1 : 0.13,1 : 1.08,1 : 3.00
ECO4006-01,정보경제학,쿼터없음,1 : 1.60,1 : 1.70,1 : 1.66
ECO4009-01,파생상품시장,쿼터없음,1 : 0.40,1 : 1.67,1 : 2.43
ECO4010-01,국제금융시장,쿼터없음,1 : 0.60,1 : 1.56,1 : 1.66
ECO4014-01,한국경제론,쿼터없음,1 : 0.10,1 : 0.56,1 : 0.32
ECO4018-01,경제학특강1,쿼터없음,신청없음,1 : 0.26,1 : 0.31
ECO4019-01,경제학특강2,쿼터없음,신청없음,1 : 0.33,1 : 0.44
ECO4020-01,경제학특강3,쿼터없음,신청없음,1 : 0.20,1 : 0.48
ECO4021-01,경제학특강4,쿼터없음,신청없음,신청없음,1 : 0.13
ECO4032-01,금융시장계량분석(캡스톤디자인),쿼터없음,신청없음,신청없음,1 : 0.55
ECO4034-01,금융시장행태주의(behavioral)분석(캡스톤),쿼터없음,신청없음,1 : 0.17,1 : 0.16
ECOG010-01,고급미시경제학I,쿼터없음,쿼터없음,1 : 0.20,1 : 0.52
ECOG020-01,고급거시경제학I,쿼터없음,쿼터없음,신청없음,1 : 0.04
ECOG030-01,고급계량경제학I,쿼터없음,쿼터없음,신청없음,1 : 0.16
EDU2001-01,교육학개론,신청없음,1 : 0.60,1 : 0.75,1 : 0.93
EDU2002-01,교육철학및교육사,1 : 0.04,1 : 0.53,1 : 0.33,1 : 0.39
EDU2003-01,교육심리,신청없음,1 : 0.07,1 : 0.21,1 : 0.26
EDU2004-01,교육방법및교육공학,신청없음,신청없음,1 : 0.20,1 : 0.34
EDU3001-01,교육과정,신청없음,1 : 0.10,1 : 0.17,1 : 0.36
EDU3002-01,교육행정및교육경영,신청없음,1 : 0.10,1 : 0.21,1 : 0.23
EDU3033-01,교육사회,1 : 0.06,1 : 0.70,1 : 0.57,1 : 0.63
EDU3034-01,학교현장실습,쿼터없음,쿼터없음,신청없음,1 : 0.26
EDU3035-01,교육봉사활동,쿼터없음,쿼터없음,쿼터없음,1 : 0.10
EDU3037-01,생활지도및상담,신청없음,1 : 1.10,1 : 0.35,1 : 0.36
EDU3045-01,특수교육학개론,신청없음,신청없음,1 : 0.02,1 : 0.15
EDU3047-01,교육평가,신청없음,신청없음,1 : 0.14,1 : 0.20
EDUF982-01,외국어교과논리및논술,쿼터없음,신청없음,1 : 0.25,1 : 0.20
EDUF983-01,외국어교과교재연구및지도법,쿼터없음,쿼터없음,1 : 0.80,1 : 0.50
EDUS981-01,과학교과교육론,신청없음,1 : 0.15,1 : 0.14,1 : 0.04
EEE2012-01,전자공학세미나II,1 : 0.02,1 : 0.37,1 : 0.41,1 : 0.41
EEE2051-01,기초전자공학실험,쿼터없음,1 : 0.90,1 : 1.00,1 : 0.50
EEE2051-02,기초전자공학실험,쿼터없음,1 : 1.70,1 : 1.00,신청없음
EEE2051-03,기초전자공학실험,쿼터없음,1 : 1.60,1 : 1.00,신청없음
EEE2051-04,기초전자공학실험,쿼터없음,1 : 0.35,신청없음,신청없음
EEE2051-05,기초전자공학실험,쿼터없음,1 : 0.55,1 : 0.09,신청없음
EEE2101-01,전자장론I,신청없음,1 : 0.81,1 : 0.52,1 : 0.28
EEE2101-02,전자장론I,1 : 0.07,1 : 0.53,1 : 0.21,1 : 0.02
EEE2103-01,고급공학수학I,1 : 0.44,1 : 1.36,1 : 0.60,1 : 0.11
EEE2103-02,고급공학수학I,1 : 0.01,1 : 0.14,1 : 0.03,신청없음
EEE2112-01,회로이론,신청없음,1 : 0.80,1 : 0.74,1 : 1.67
EEE2112-02,회로이론,신청없음,1 : 0.46,1 : 0.14,1 : 0.03
EEE2135-01,디지털회로설계,1 : 0.03,1 : 0.51,1 : 0.37,1 : 0.10
EEE2135-02,디지털회로설계,1 : 0.17,1 : 0.90,1 : 0.39,신청없음
EEE3121-01,물리전자공학II,신청없음,1 : 0.20,1 : 0.81,1 : 0.24
EEE3131-01,전자회로I,신청없음,1 : 0.20,1 : 0.67,1 : 0.08
EEE3131-02,전자회로I,신청없음,1 : 0.60,1 : 0.61,1 : 0.15
EEE3141-01,자동제어개론,신청없음,1 : 0.33,1 : 1.55,1 : 0.50
EEE3141-02,자동제어개론,신청없음,1 : 0.33,1 : 0.36,1 : 0.03
EEE3148-01,통신공학개론,신청없음,1 : 0.10,1 : 0.56,1 : 0.06
EEE3154-01,랜덤프로세스,신청없음,1 : 0.40,1 : 1.03,1 : 1.50
EEE3181-01,전자회로실험,쿼터없음,쿼터없음,1 : 1.45,1 : 1.50
EEE3181-02,전자회로실험,쿼터없음,쿼터없음,1 : 0.60,1 : 0.10
EEE3181-03,전자회로실험,쿼터없음,쿼터없음,1 : 1.30,1 : 1.50
EEE3181-04,전자회로실험,쿼터없음,쿼터없음,1 : 0.40,1 : 0.36
EEE3181-05,전자회로실험,쿼터없음,쿼터없음,1 : 1.00,1 : 2.00
EEE4147-01,반도체공학II,쿼터없음,쿼터없음,1 : 0.10,1 : 0.41
EEE4160-01,컴퓨터통신,쿼터없음,쿼터없음,1 : 0.10,1 : 0.25
EEE4162-01,반도체집적회로해석및설계,쿼터없음,쿼터없음,신청없음,1 : 0.52
EEE4165-01,디지털영상처리개론,쿼터없음,쿼터없음,1 : 0.70,1 : 0.40
EEE4167-01,마이크로프로세서개론,쿼터없음,쿼터없음,1 : 0.30,1 : 0.25
EEE4171-01,데이터통신시스템,쿼터없음,쿼터없음,1 : 0.10,1 : 0.08
EEE4173-01,초고주파공학,쿼터없음,쿼터없음,1 : 0.30,1 : 0.59
EEE4175-01,디지털신호처리개론,쿼터없음,쿼터없음,1 : 0.10,1 : 0.54
EEE4183-01,마이크로프로세서응용실험,쿼터없음,쿼터없음,1 : 1.00,1 : 1.06
EEE4185-01,디자인프로젝트(종합설계),쿼터없음,쿼터없음,쿼터없음,1 : 0.13
EEEG273-01,나노반도체소자공정실무와특허사례(캡스톤디자인),쿼터없음,쿼터없음,1 : 0.05,1 : 0.36
ENG2001-01,영문학개론,신청없음,쿼터없음,쿼터없음,쿼터없음
ENG2001-02,영문학개론,1 : 0.13,1 : 0.67,쿼터없음,쿼터없음
ENG2003-01,언어학개론,1 : 0.80,1 : 2.00,1 : 1.80,1 : 2.00
ENG2101-01,영문학작문,1 : 0.10,쿼터없음,쿼터없음,쿼터없음
ENG2101-02,영문학작문,1 : 0.30,1 : 1.40,쿼터없음,쿼터없음
ENG2101-03,영문학작문,1 : 0.10,1 : 1.40,쿼터없음,쿼터없음
ENG3008-01,초기영국소설,쿼터없음,1 : 0.90,1 : 0.82,1 : 0.17
ENG3010-01,빅토리아시대의소설,쿼터없음,1 : 0.53,1 : 0.36,1 : 0.17
ENG3012-01,초기및19세기미국소설,쿼터없음,1 : 3.00,1 : 0.30,1 : 0.08
ENG3102-01,현대서양문학,쿼터없음,1 : 0.40,1 : 0.25,1 : 0.29
ENG3106-01,현대미국희곡,쿼터없음,1 : 0.73,1 : 0.21,1 : 0.44
ENG3108-01,최근미국문학,쿼터없음,1 : 0.08,1 : 0.17,1 : 0.20
ENG3207-01,영어권대중문학,신청없음,1 : 0.13,1 : 0.32,1 : 0.29
ENG3216-01,영문학특강,쿼터없음,1 : 0.20,1 : 0.22,1 : 0.42
ENG3223-01,시와문화,쿼터없음,1 : 0.67,1 : 0.30,1 : 0.21
ENG3227-01,문학과예술,쿼터없음,1 : 0.67,1 : 0.35,1 : 0.26
ENG3301-01,영어음성학,쿼터없음,1 : 0.63,신청없음,1 : 0.25
ENG3305-01,영어화용론,신청없음,1 : 0.95,1 : 1.05,1 : 0.30
ENG3306-01,영어통사론,쿼터없음,1 : 1.80,1 : 0.13,1 : 0.11
ENG3319-01,언어조사및분석,쿼터없음,1 : 0.13,1 : 0.05,1 : 0.01
ENG3412-01,영어연설과원고작성법,신청없음,1 : 1.00,1 : 0.80,1 : 1.67
ENGG008-01,문학비평연구,쿼터없음,1 : 1.00,신청없음,신청없음
ENGG282-01,영어논리/논증적글쓰기의이론과실제,쿼터없음,쿼터없음,신청없음,1 : 0.05
ENGG284-01,글쓰기문법과논리적사고,쿼터없음,1 : 0.40,1 : 0.25,1 : 0.19
ETS2001-01,현대세계와윤리문제,1 : 0.17,1 : 0.80,1 : 0.57,1 : 0.56
ETS2001-02,현대세계와윤리문제,1 : 0.04,1 : 0.05,신청없음,1 : 0.08
ETS2001-03,현대세계와윤리문제,1 : 0.01,1 : 0.15,신청없음,신청없음
ETS2001-04,현대세계와윤리문제,1 : 0.14,1 : 0.90,1 : 0.25,신청없음
ETS2002-01,논리와비판적사고,1 : 0.40,1 : 3.65,1 : 1.20,1 : 1.40
ETS2002-02,논리와비판적사고,1 : 0.06,1 : 1.55,1 : 0.90,1 : 0.36
ETS2002-03,논리와비판적사고,1 : 0.15,1 : 0.40,1 : 0.27,1 : 0.04
ETS2002-04,논리와비판적사고,1 : 0.25,1 : 1.25,1 : 1.20,1 : 1.10
ETS2002-05,논리와비판적사고,1 : 0.11,1 : 1.60,1 : 0.80,1 : 0.50
ETS2002-06,논리와비판적사고,1 : 0.01,1 : 0.55,신청없음,신청없음
ETS2003-01,철학산책,1 : 0.03,1 : 0.40,1 : 0.09,1 : 0.04
ETS2004-01,종교와세계문화,1 : 0.10,1 : 0.10,1 : 0.14,1 : 0.03
ETS2004-02,종교와세계문화,1 : 0.17,1 : 1.20,1 : 0.60,1 : 0.14
ETS2004-03,종교와세계문화,1 : 0.05,1 : 0.35,1 : 0.04,1 : 0.03
ETS2004-04,종교와세계문화,1 : 0.02,1 : 0.25,1 : 0.16,1 : 0.06
ETS2004-05,종교와세계문화,신청없음,1 : 0.40,1 : 0.18,1 : 0.07
ETS2004-06,종교와세계문화,1 : 0.01,1 : 0.35,신청없음,1 : 0.03
ETS2004-07,종교와세계문화,1 : 0.58,1 : 2.49,1 : 2.10,1 : 2.60
ETU4002-01,정보윤리학,신청없음,1 : 0.05,신청없음,1 : 0.03
ETU4003-01,직업과윤리,1 : 0.02,1 : 0.10,1 : 0.21,1 : 0.44
ETU4004-01,동아시아철학고전읽기,1 : 0.02,1 : 0.35,1 : 0.21,1 : 0.33
ETU4009-01,영화와철학,1 : 0.70,1 : 4.55,1 : 2.45,1 : 2.55
ETU4010-01,한국문화와종교,신청없음,1 : 0.08,1 : 0.06,1 : 0.04
ETU4016-01,"종교,폭력,평화",1 : 0.01,1 : 0.38,1 : 0.11,1 : 0.07
EUR2102-01,유럽예술감상,1 : 0.07,1 : 1.85,1 : 1.50,1 : 1.80
EUR2201-01,기초독어,1 : 0.04,1 : 1.00,1 : 0.50,신청없음
EUR2206-01,독문법1,신청없음,1 : 0.40,1 : 0.44,1 : 0.12
EUR2303-01,프랑스어문법1,신청없음,1 : 2.30,1 : 0.80,1 : 0.33
EUR2315-01,프랑스문화의이해,신청없음,1 : 0.30,1 : 0.13,1 : 0.04
EUR3107-01,유럽의정치와제도,신청없음,1 : 1.50,1 : 1.00,1 : 0.45
EUR3205-01,중급독어회화,신청없음,신청없음,1 : 0.30,1 : 0.18
EUR3216-01,독어학의신세계,신청없음,1 : 0.10,1 : 0.37,1 : 0.05
EUR3225-01,독일단편소설,신청없음,1 : 0.40,1 : 0.06,신청없음
EUR3234-01,독일문학과성담론,신청없음,1 : 0.20,1 : 0.17,신청없음
EUR3235-01,독일문학과연극,신청없음,1 : 0.20,1 : 0.22,1 : 0.18
EUR3245-01,독일문화사,신청없음,1 : 0.20,1 : 0.39,신청없음
EUR3321-01,시청각프랑스어2,신청없음,1 : 0.10,1 : 0.21,1 : 0.26
EUR3324-01,프랑스어작문2,신청없음,신청없음,1 : 0.13,1 : 0.26
EUR3340-01,프랑스문학강독1,신청없음,1 : 0.10,1 : 0.39,1 : 0.18
EUR3346-01,프랑스18세기문학,신청없음,1 : 0.15,1 : 0.22,1 : 0.23
EUR3349-01,프랑스극문학,신청없음,1 : 0.20,1 : 0.28,1 : 0.28
EUR4207-01,시사독일어,신청없음,1 : 0.10,1 : 0.16,1 : 0.08
EUR4381-01,시청각프랑스어4,신청없음,1 : 0.20,1 : 0.29,1 : 0.30
EUR4383-01,프랑스어토론,신청없음,신청없음,1 : 0.10,1 : 0.21
GES2001-01,현대사회와여성,신청없음,1 : 0.25,1 : 0.03,1 : 0.13
GES3005-01,여성과문학,신청없음,1 : 0.55,1 : 0.07,1 : 0.15
GES3010-01,남성문화연구,신청없음,1 : 0.10,신청없음,1 : 0.02
GES3013-01,한국여성사,신청없음,신청없음,1 : 0.03,신청없음
GES3017-01,여성학특강1,1 : 0.05,1 : 0.40,1 : 0.08,1 : 0.23
GKS3002-01,Intro to Korea thru Literature and Film,1 : 0.05,1 : 0.53,1 : 0.18,1 : 0.04
GKS3003-01,Intro to Korean Sociolinguistics,신청없음,1 : 0.10,1 : 0.11,신청없음
GKS3004-01,Formation of Modern Korea,1 : 0.20,1 : 0.60,1 : 0.93,1 : 0.55
GKS3007-01,Topics in Korea Today,1 : 0.11,1 : 0.73,1 : 0.32,1 : 0.26
GKS3027-01,Korean Language and Culture-Beginner,1 : 0.03,1 : 0.10,1 : 0.46,1 : 0.07
GKS3027-02,Korean Language and Culture-Beginner,1 : 0.02,1 : 0.03,1 : 0.31,1 : 0.27
GKS4012-01,Seeing Korea: An Introduction to Image G,신청없음,1 : 0.80,1 : 0.58,1 : 0.10
HFS2001-01,철학적인간학,쿼터없음,1 : 1.80,1 : 1.10,1 : 0.60
HFS2001-02,철학적인간학,쿼터없음,1 : 0.52,1 : 0.26,1 : 0.09
HFS2001-03,철학적인간학,쿼터없음,1 : 1.98,1 : 2.00,1 : 1.20
HFS2001-04,철학적인간학,쿼터없음,1 : 2.10,1 : 1.30,1 : 1.50
HFS2001-05,철학적인간학,쿼터없음,1 : 0.76,1 : 0.32,1 : 0.16
HFS2001-06,철학적인간학,쿼터없음,1 : 2.08,1 : 1.30,1 : 1.20
HFS2002-01,신학적인간학,쿼터없음,1 : 0.24,1 : 0.06,1 : 0.05
HFS2002-02,신학적인간학,쿼터없음,1 : 0.54,1 : 0.27,1 : 0.09
HFS2002-03,신학적인간학,쿼터없음,1 : 0.94,1 : 1.69,1 : 1.20
HFS2002-04,신학적인간학,쿼터없음,1 : 3.18,1 : 2.00,1 : 0.90
HFS2002-05,신학적인간학,쿼터없음,1 : 0.26,신청없음,1 : 0.04
HFS2003-01,그리스도교윤리,쿼터없음,1 : 2.50,1 : 2.60,1 : 1.70
HFS2003-02,그리스도교윤리,쿼터없음,1 : 0.60,1 : 0.40,1 : 0.07
HFS2003-03,그리스도교윤리,쿼터없음,1 : 1.66,1 : 2.00,1 : 1.80
HFS2003-04,그리스도교윤리,쿼터없음,1 : 0.26,1 : 0.04,1 : 0.05
HFS2003-05,그리스도교윤리,쿼터없음,1 : 0.20,1 : 0.10,1 : 0.02
HFU4005-01,개인과공동체,신청없음,1 : 0.27,1 : 0.04,신청없음
HFU4011-01,더나은삶을위한가치교육,신청없음,1 : 0.10,1 : 0.05,신청없음
HFU4012-01,그리스도교신앙과영성,쿼터없음,1 : 0.06,1 : 0.02,1 : 0.11
HFU4012-02,그리스도교신앙과영성,쿼터없음,신청없음,1 : 0.02,신청없음
HFU4014-01,영성수련,쿼터없음,1 : 1.13,1 : 1.63,1 : 1.56
HFU4023-01,진·선·미·성,쿼터없음,1 : 0.02,1 : 0.02,1 : 0.01
HFU4023-02,진·선·미·성,쿼터없음,1 : 0.02,신청없음,1 : 0.07
HFU4023-03,진·선·미·성,쿼터없음,신청없음,신청없음,1 : 0.03
HIS2003-01,한국사개론Ⅰ,신청없음,1 : 0.95,1 : 0.10,1 : 0.23
HIS2004-01,동아시아사개론Ⅰ,신청없음,1 : 0.20,1 : 0.03,1 : 0.04
HIS2005-01,서양사개론Ⅰ,신청없음,1 : 0.55,1 : 0.17,1 : 0.14
HIS2006-01,역사학입문,1 : 0.02,1 : 0.65,1 : 0.30,1 : 0.08
HIS3007-01,중국중세사,1 : 0.02,1 : 0.70,1 : 0.46,1 : 0.21
HIS3012-01,근대일본의형성,신청없음,1 : 0.55,1 : 0.31,1 : 0.25
HIS3018-01,아시아지역사특강1,신청없음,1 : 0.10,1 : 0.11,신청없음
HIS3023-01,르네상스와종교개혁사,신청없음,1 : 0.20,1 : 0.19,1 : 0.10
HIS3028-01,서양현대사,신청없음,1 : 0.25,1 : 0.20,1 : 0.08
HIS3029-01,20세기세계사,신청없음,1 : 0.05,1 : 0.21,1 : 0.12
HIS3039-01,한국사학사,신청없음,1 : 0.15,1 : 0.14,1 : 0.08
HIS3042-01,한국정치사,신청없음,1 : 0.50,1 : 0.17,1 : 0.09
HIS3053-01,한국여성사,신청없음,1 : 0.50,1 : 0.10,1 : 0.17
HIS3056-01,중국사상사,신청없음,1 : 0.10,1 : 0.13,1 : 0.02
HIS3060-01,동아시아의국제질서,신청없음,1 : 0.30,1 : 0.12,1 : 0.12
HIS3070-01,문화유산현장실습1,1 : 0.02,1 : 0.50,1 : 0.10,1 : 0.30
HIS4005-01,한국사강독1,신청없음,1 : 0.05,1 : 0.03,1 : 0.07
HIS4012-01,서양사특강1,신청없음,신청없음,1 : 0.05,1 : 0.07
HIS4017-01,서양사명저해제1,신청없음,1 : 0.05,1 : 0.18,1 : 0.19
HISG105-01,한국제도사연습,신청없음,신청없음,신청없음,1 : 0.03
HISQ982-01,역사교과논리및논술,신청없음,신청없음,신청없음,1 : 0.02
HLU4003-01,운동과건강,신청없음,1 : 0.10,1 : 0.13,1 : 0.31
HLU4006-01,요가,신청없음,1 : 3.44,1 : 4.22,1 : 6.22
HLU4007-01,테니스,1 : 0.13,1 : 2.89,1 : 4.67,1 : 4.11
HLU4007-02,테니스,1 : 0.13,1 : 0.56,1 : 0.38,1 : 1.06
HLU4011-01,농구,신청없음,1 : 0.11,1 : 0.06,1 : 0.28
HLU4011-02,농구,1 : 0.04,1 : 0.33,1 : 0.13,1 : 0.14
HLU4011-03,농구,신청없음,1 : 0.33,신청없음,1 : 0.21
HLU4013-01,축구,신청없음,1 : 0.67,1 : 0.75,1 : 0.67
HLU4014-01,야구,신청없음,1 : 0.11,신청없음,1 : 0.31
HLU4015-01,골프,신청없음,1 : 0.89,1 : 0.90,1 : 3.10
HLU4016-01,춤과풍물,신청없음,신청없음,신청없음,1 : 0.04
HLU4101-01,수영II,신청없음,신청없음,1 : 0.28,1 : 0.45
HLU4102-01,테니스II,신청없음,1 : 0.22,1 : 0.19,1 : 0.41
HSS3002-01,사회봉사,1 : 0.10,1 : 1.40,1 : 1.20,1 : 5.00
HSS3002-02,사회봉사,신청없음,1 : 0.40,1 : 0.08,1 : 0.20
HSS3004-01,특수교육과장애의이해,1 : 0.10,1 : 1.10,1 : 1.30,1 : 3.40
HSS3005-01,수화의이해,1 : 0.15,1 : 2.90,1 : 1.90,1 : 2.73
HSS3012-01,동서고전세미나,1 : 0.10,1 : 0.57,1 : 0.91,1 : 2.35
HSS3012-02,동서고전세미나,신청없음,1 : 0.30,1 : 0.32,1 : 1.13
HSS3012-03,동서고전세미나,1 : 0.02,1 : 0.20,1 : 0.30,1 : 0.36
HSS3012-04,동서고전세미나,신청없음,1 : 1.00,1 : 2.00,1 : 4.60
HSS3016-01,진로탐색입문,1 : 0.50,1 : 0.73,쿼터없음,쿼터없음
HSS3016-02,진로탐색입문,1 : 0.10,1 : 0.13,쿼터없음,쿼터없음
HSS3027-01,공존의시대와세계시민교육,쿼터없음,1 : 0.33,1 : 0.30,1 : 0.80
JAS3001-01,저널리즘개론,1 : 0.90,1 : 2.15,1 : 4.30,1 : 1.70
JAS3003-01,네트워크사회와미디어,쿼터없음,1 : 0.33,1 : 1.24,1 : 0.87
JAS3004-01,영상문화와사회,쿼터없음,1 : 0.87,1 : 2.00,1 : 1.17
JAS3007-01,광고4.0,신청없음,1 : 2.27,1 : 2.40,1 : 1.07
JAS3008-01,PR의이해,쿼터없음,1 : 2.27,1 : 1.87,1 : 1.07
JAS3010-01,헬스커뮤니케이션과디지털미디어,신청없음,1 : 0.25,1 : 0.20,1 : 0.21
JAS3011-01,PR글쓰기와실무,쿼터없음,1 : 0.90,1 : 1.73,1 : 2.50
JAS3012-01,텔레비전론,쿼터없음,1 : 0.86,1 : 0.70,1 : 0.26
JAS3014-01,창의적말하기와글쓰기,쿼터없음,쿼터없음,1 : 1.35,1 : 1.80
JAS4006-01,광고커뮤니케이션과소비자심리분석,1 : 0.02,1 : 0.30,1 : 0.21,1 : 0.15
JAS4007-01,미디어와위기커뮤니케이션,쿼터없음,1 : 0.20,1 : 0.09,1 : 0.45
JAS4013-01,미디어콘텐츠포맷론,쿼터없음,쿼터없음,1 : 0.07,1 : 0.07
JAS4014-01,데이터마이닝,신청없음,신청없음,1 : 0.10,1 : 0.30
JAS4016-01,IMC캠페인실습,쿼터없음,쿼터없음,1 : 0.10,1 : 0.16
JAS4017-01,전략커뮤니케이션기획실습,쿼터없음,신청없음,1 : 0.50,1 : 0.55
JPN2002-01,중급일본어II,신청없음,1 : 0.20,1 : 0.11,1 : 0.10
JPN2005-01,일본어작문,신청없음,1 : 0.30,1 : 0.24,1 : 0.17
JPN2007-01,시사일본어,1 : 0.05,1 : 0.40,1 : 0.19,1 : 0.26
JPN2010-01,일본학개론,신청없음,신청없음,1 : 0.35,1 : 0.30
JPN2011-01,일본소설강독,신청없음,1 : 0.10,1 : 0.21,1 : 0.24
JPN2012-01,영화를통한일본이해,신청없음,1 : 0.65,1 : 0.44,1 : 0.43
JPN3002-01,일본의법과사회,신청없음,1 : 0.20,1 : 0.07,1 : 0.28
KCS1001-02,한국문화의이해와체험,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KIC2003-01,개발경제론,신청없음,신청없음,1 : 0.13,1 : 0.10
KIC3016-01,국제개발협력실습II,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KOR2001-01,국어학입문,1 : 0.02,1 : 1.30,1 : 1.60,1 : 0.40
KOR2200-01,국문학개설,1 : 0.05,1 : 0.75,1 : 1.60,1 : 2.60
KOR2201-01,문학이란무엇인가,1 : 0.11,1 : 11.00,1 : 8.50,쿼터없음
KOR3004-01,국어형태론,쿼터없음,1 : 3.00,1 : 2.10,1 : 0.60
KOR3005-01,국어의미론,쿼터없음,1 : 0.33,1 : 0.24,1 : 0.10
KOR3006-01,국어방언론,쿼터없음,1 : 1.80,1 : 1.50,1 : 0.50
