전공,입력코드,과목명,구분,전체,2학년,3학년,4학년,1학년
경영학전공,MGT3003-04,생산관리론,경쟁률,1 : 0.41,1 : 0.75,1 : 0.33,1 : 0.09,쿼터없음
경영학전공,MGT3003-05,생산관리론,경쟁률,1 : 0.91,1 : 1.70,1 : 1.00,1 : 0.20,쿼터없음
경영학전공,MGT3004-01,재무관리,경쟁률,1 : 0.34,1 : 0.35,1 : 0.24,1 : 0.20,신청없음
경영학전공,MGT3004-02,재무관리,경쟁률,1 : 1.66,1 : 1.70,1 : 2.90,1 : 1.20,신청없음
경영학전공,MGT3004-03,재무관리,경쟁률,1 : 1.83,1 : 2.65,1 : 2.40,1 : 1.30,1 : 0.10
경영학전공,MGT3004-04,재무관리,경쟁률,1 : 0.59,1 : 0.55,1 : 0.66,1 : 0.33,1 : 0.03
경영학전공,MGT3005-01,관리회계,경쟁률,1 : 1.16,1 : 0.80,1 : 1.11,1 : 2.30,신청없음
경영학전공,MGT3005-02,관리회계,경쟁률,1 : 0.26,신청없음,1 : 0.15,1 : 0.15,쿼터없음
경영학전공,MGT3005-03,관리회계,경쟁률,1 : 0.49,1 : 0.40,1 : 0.40,1 : 0.15,신청없음
경영학전공,MGT3005-04,관리회계,경쟁률,1 : 0.39,1 : 0.10,1 : 0.18,1 : 0.28,신청없음
경영학전공,MGT3005-05,관리회계,경쟁률,1 : 1.19,1 : 0.90,1 : 1.09,1 : 2.00,쿼터없음
경영학전공,MGT3006-01,마케팅원론,경쟁률,1 : 0.37,1 : 0.23,1 : 0.23,1 : 0.09,쿼터없음
경영학전공,MGT3006-02,마케팅원론,경쟁률,1 : 1.94,1 : 3.05,1 : 1.97,1 : 0.75,쿼터없음
경영학전공,MGT3006-03,마케팅원론,경쟁률,1 : 0.80,1 : 0.63,1 : 0.58,1 : 0.48,쿼터없음
경영학전공,MGT3006-04,마케팅원론,경쟁률,1 : 2.19,1 : 2.37,1 : 2.90,1 : 1.15,쿼터없음
경영학전공,MGT3006-05,마케팅원론,경쟁률,1 : 0.55,1 : 0.57,1 : 0.39,1 : 0.07,쿼터없음
경영학전공,MGT3007-01,국제경영론,경쟁률,1 : 0.51,1 : 0.05,1 : 0.41,1 : 0.36,쿼터없음
경영학전공,MGT3007-02,국제경영론,경쟁률,1 : 2.01,1 : 1.05,1 : 3.10,1 : 1.87,쿼터없음
