학과,과목분반,과목명,1학년,2학년,3학년 ,4학년,전학년
교양학부,HFS2003-06,그리스도교윤리,쿼터없음,1 : 1.10,1 : 1.80,1 : 1.50,1 : 1.26
교양학부,HFU4012-01,그리스도교신앙과영성,쿼터없음,1 : 0.42,1 : 0.10,1 : 0.20,1 : 0.50
교양학부,HFU4012-02,그리스도교신앙과영성,쿼터없음,1 : 0.04,신청없음,1 : 0.03,1 : 0.09
교양학부,HFU4014-01,영성수련,쿼터없음,1 : 1.05,1 : 0.35,1 : 0.36,1 : 0.68
교양학부,HFU4023-01,진·선·미·성,쿼터없음,1 : 0.12,1 : 0.02,1 : 0.03,1 : 0.17
사학전공,HIS2002-01,현대세계의역사적이해,1 : 0.65,1 : 0.30,1 : 0.13,1 : 0.20,1 : 0.46
사학전공,HIS3003-01,조선시대사,1 : 0.60,1 : 0.71,1 : 0.25,1 : 0.15,1 : 0.56
사학전공,HIS3006-01,중국고대사,1 : 0.05,1 : 0.21,1 : 0.18,1 : 0.23,1 : 0.40
사학전공,HIS3008-01,중국근세사,신청없음,1 : 0.15,1 : 0.06,1 : 0.07,1 : 0.18
사학전공,HIS3013-01,일본현대사,1 : 0.25,1 : 0.11,1 : 0.02,신청없음,1 : 0.13
사학전공,HIS3020-01,오리엔트문명사,신청없음,1 : 0.20,1 : 0.08,1 : 0.07,1 : 0.21
사학전공,HIS3032-01,프랑스사개설,1 : 0.05,1 : 0.18,1 : 0.06,1 : 0.01,1 : 0.15
사학전공,HIS3033-01,러시아혁명사,1 : 0.30,1 : 0.24,1 : 0.09,1 : 0.08,1 : 0.29
사학전공,HIS3040-01,한국사개론Ⅱ,1 : 0.20,1 : 0.08,1 : 0.09,1 : 0.06,1 : 0.20
사학전공,HIS3044-01,한국제도사,1 : 0.05,1 : 0.08,1 : 0.05,1 : 0.01,1 : 0.10
사학전공,HIS3045-01,한국사회신분사,1 : 0.25,1 : 0.34,1 : 0.09,1 : 0.03,1 : 0.29
사학전공,HIS3050-01,한국미술사,1 : 0.05,1 : 0.15,1 : 0.17,1 : 0.17,1 : 0.34
사학전공,HIS3055-01,동아시아사개론II,1 : 0.20,신청없음,신청없음,1 : 0.03,1 : 0.08
사학전공,HIS3058-01,동서교류사,1 : 0.05,1 : 0.05,1 : 0.02,1 : 0.03,1 : 0.08
사학전공,HIS3062-01,서양사개론Ⅱ,1 : 0.15,신청없음,신청없음,1 : 0.01,1 : 0.05
사학전공,HIS3071-01,문화유산현장실습2,1 : 0.30,1 : 0.21,1 : 0.13,1 : 0.10,1 : 0.31
사학전공,HIS4002-01,한국사특강2,신청없음,1 : 0.03,신청없음,1 : 0.01,1 : 0.03
사학전공,HIS4007-01,한국사강독3,신청없음,1 : 0.03,1 : 0.07,1 : 0.05,1 : 0.11
사학전공,HIS4014-01,서양사특강3,1 : 0.05,1 : 0.08,1 : 0.07,1 : 0.04,1 : 0.14
사학전공,HIS4018-01,서양사명저해제2,신청없음,신청없음,1 : 0.05,1 : 0.01,1 : 0.05
사학전공,HIS4031-01,역사글쓰기,신청없음,신청없음,신청없음,1 : 0.03,1 : 0.03
사학전공,HISQ983-01,역사교과교재연구및지도법,_,_,_,_,_
교양학부,HLU4001-01,영양과다이어트,1 : 0.13,1 : 0.11,1 : 0.07,1 : 0.31,1 : 0.39
교양학부,HLU4004-01,수영,1 : 0.90,1 : 1.36,1 : 1.80,1 : 4.70,1 : 2.23
