개설전공,입력코드,과목명,전체,2학년,3학년,4학년,1학년
화공생명공학전공,CBE4017-03,화공생명공학공정실험,1 : 1.15,쿼터없음,1 : 0.20,1 : 1.16,쿼터없음
화공생명공학전공,CBEG005-01,화학산업과기술경영,1 : 0.66,쿼터없음,1 : 3.80,1 : 0.49,쿼터없음
중국문화전공,CHI2001-01,전공기초중국어1,1 : 0.53,1 : 0.80,1 : 1.00,1 : 1.20,신청없음
중국문화전공,CHI2004-01,중국문화의이해,1 : 1.70,1 : 1.10,1 : 1.70,1 : 3.60,1 : 1.00
중국문화전공,CHI2006-01,"오늘의중국,중국인",1 : 0.30,1 : 0.10,1 : 0.16,1 : 0.24,신청없음
중국문화전공,CHI3005-01,고급중국어,1 : 0.51,1 : 0.30,1 : 0.47,1 : 0.26,1 : 0.11
중국문화전공,CHI3011-01,중국고전시의세계,1 : 0.40,1 : 0.20,1 : 0.44,1 : 0.30,신청없음
중국문화전공,CHI3012-01,중국신화와내러티브,1 : 0.23,1 : 0.10,1 : 0.05,1 : 0.21,신청없음
중국문화전공,CHI3017-01,현대중국어문법,1 : 1.11,1 : 0.60,1 : 1.43,1 : 1.10,1 : 0.40
중국문화전공,CHI3025-01,영화와현대중국,1 : 1.10,1 : 1.80,1 : 0.70,1 : 0.75,쿼터없음
중국문화전공,CHI3030-01,문화연구:상징과권력,1 : 0.85,1 : 1.30,1 : 1.20,1 : 0.90,신청없음
중국문화전공,CHI3032-01,루쉰과현대,1 : 0.60,1 : 0.40,1 : 0.46,1 : 0.33,쿼터없음
중국문화전공,CHI4014-01,세계속의중국문화,1 : 0.60,1 : 0.40,1 : 0.56,1 : 0.42,신청없음
중국문화전공,CHI4015-01,중국진출기업의문화적현지화(캡스톤디자인),1 : 0.40,쿼터없음,1 : 0.80,1 : 0.18,쿼터없음
화학전공,CHM1001-01,일반화학I,1 : 0.03,쿼터없음,쿼터없음,신청없음,1 : 0.03
화학전공,CHM1001-02,일반화학I,1 : 0.20,쿼터없음,쿼터없음,1 : 0.20,신청없음
화학전공,CHM1001-03,일반화학I,1 : 0.35,쿼터없음,쿼터없음,1 : 0.90,1 : 0.05
화학전공,CHM1001-04,일반화학I,1 : 0.03,쿼터없음,쿼터없음,신청없음,1 : 0.03
화학전공,CHM1001-05,일반화학I,1 : 0.15,쿼터없음,쿼터없음,1 : 0.20,1 : 0.03
화학전공,CHM1001-06,일반화학I,1 : 0.14,쿼터없음,쿼터없음,1 : 0.20,1 : 0.04
화학전공,CHM1001-07,일반화학I,1 : 0.07,쿼터없음,쿼터없음,1 : 0.20,1 : 0.01
화학전공,CHM1001-08,일반화학I,1 : 0.03,쿼터없음,쿼터없음,신청없음,1 : 0.01
화학전공,CHM1051-01,일반화학실험I,1 : 0.06,쿼터없음,쿼터없음,신청없음,1 : 0.06
화학전공,CHM1051-02,일반화학실험I,1 : 0.06,쿼터없음,쿼터없음,1 : 0.50,신청없음
화학전공,CHM1051-03,일반화학실험I,1 : 0.06,쿼터없음,쿼터없음,신청없음,신청없음
화학전공,CHM1051-04,일반화학실험I,1 : 0.38,쿼터없음,쿼터없음,1 : 2.00,신청없음
화학전공,CHM1051-06,일반화학실험I,1 : 0.06,쿼터없음,쿼터없음,1 : 0.50,신청없음
화학전공,CHM1051-08,일반화학실험I,1 : 0.06,쿼터없음,쿼터없음,1 : 0.50,신청없음
화학전공,CHM1051-09,일반화학실험I,1 : 0.19,쿼터없음,쿼터없음,1 : 1.50,신청없음
화학전공,CHM1051-10,일반화학실험I,1 : 0.06,쿼터없음,쿼터없음,1 : 0.50,신청없음
화학전공,CHM1051-11,일반화학실험I,1 : 0.19,쿼터없음,쿼터없음,1 : 1.00,신청없음
화학전공,CHM1051-12,일반화학실험I,1 : 0.06,쿼터없음,쿼터없음,1 : 0.50,신청없음
화학전공,CHM1051-13,일반화학실험I,1 : 0.25,쿼터없음,쿼터없음,1 : 1.50,신청없음
화학전공,CHM1051-16,일반화학실험I,1 : 0.56,쿼터없음,쿼터없음,1 : 3.50,신청없음
화학전공,CHM1051-17,일반화학실험I,1 : 0.06,쿼터없음,쿼터없음,1 : 0.50,신청없음
화학전공,CHM1051-20,일반화학실험I,1 : 0.13,쿼터없음,쿼터없음,1 : 1.00,신청없음
화학전공,CHM2101-01,분석화학,1 : 0.27,1 : 0.85,1 : 0.12,1 : 0.04,1 : 0.01
화학전공,CHM2151-01,분석화학실험,1 : 0.63,1 : 0.56,쿼터없음,쿼터없음,쿼터없음
화학전공,CHM2151-02,분석화학실험,1 : 1.25,1 : 1.19,쿼터없음,쿼터없음,쿼터없음
화학전공,CHM2151-03,분석화학실험,1 : 1.00,1 : 0.88,쿼터없음,쿼터없음,쿼터없음
화학전공,CHM2151-04,분석화학실험,1 : 0.88,1 : 0.81,쿼터없음,쿼터없음,쿼터없음
화학전공,CHM2202-01,물리화학II,1 : 0.29,1 : 0.13,1 : 0.44,1 : 0.10,신청없음
화학전공,CHM2231-01,물리화학특론,1 : 0.07,신청없음,신청없음,1 : 0.09,신청없음
화학전공,CHM2251-01,물리화학실험I,1 : 0.33,쿼터없음,1 : 0.33,쿼터없음,쿼터없음
화학전공,CHM2251-02,물리화학실험I,1 : 1.33,쿼터없음,1 : 1.17,쿼터없음,쿼터없음
화학전공,CHM2251-03,물리화학실험I,1 : 1.00,쿼터없음,1 : 1.00,쿼터없음,쿼터없음
화학전공,CHM2251-04,물리화학실험I,1 : 1.00,쿼터없음,1 : 0.83,쿼터없음,쿼터없음
화학전공,CHM2301-01,유기화학I,1 : 0.29,1 : 0.85,1 : 0.22,1 : 0.03,1 : 0.01
화학전공,CHM2301-02,유기화학I,1 : 0.26,1 : 0.75,1 : 0.20,신청없음,1 : 0.01
화학전공,CHM2331-01,유기화학특론I,1 : 0.11,신청없음,1 : 0.08,1 : 0.10,신청없음
화학전공,CHM2352-01,유기화학실험II,1 : 0.12,신청없음,1 : 0.10,1 : 0.09,신청없음
화학전공,CHM2401-01,무기화학I,1 : 0.21,1 : 0.05,1 : 0.36,1 : 0.04,신청없음
화학전공,CHM2501-01,고분자화학,1 : 0.04,신청없음,1 : 0.05,1 : 0.03,신청없음
화학전공,CHM2602-01,생화학II,1 : 0.08,신청없음,1 : 0.09,1 : 0.04,신청없음
화학전공,CHM2651-01,생화학실험,1 : 1.06,쿼터없음,1 : 0.50,1 : 1.08,쿼터없음
화학전공,CHM2651-02,생화학실험,1 : 1.00,쿼터없음,1 : 0.67,1 : 1.00,쿼터없음
화학전공,CHM4051-01,연구프로젝트I,1 : 0.03,쿼터없음,신청없음,1 : 0.03,쿼터없음
화학전공,CHM4055-01,첨단화학캡스톤디자인,1 : 0.70,쿼터없음,1 : 1.80,1 : 0.33,쿼터없음
화학전공,CHM4203-01,화학특허와기술이전,1 : 0.09,1 : 0.05,1 : 0.10,1 : 0.04,신청없음
화학전공,CHMG301-01,고급유기화학I,1 : 0.02,신청없음,1 : 0.02,1 : 0.01,신청없음
화학전공,CHMG401-01,고급무기화학,1 : 0.03,신청없음,신청없음,1 : 0.03,신청없음
교양학부(사학),CHS2001-01,한국문화와역사,1 : 0.81,1 : 1.25,1 : 1.05,1 : 0.45,1 : 0.32
교양학부(사학),CHS2001-02,한국문화와역사,1 : 0.68,1 : 1.40,1 : 0.30,1 : 0.29,1 : 0.23
교양학부(사학),CHS2002-01,현대한국의형성,1 : 0.40,1 : 0.65,1 : 0.30,1 : 0.21,1 : 0.06
교양학부(사학),CHS2002-02,현대한국의형성,1 : 0.78,1 : 1.85,1 : 0.35,1 : 0.24,1 : 0.22
교양학부(사학),CHS2002-03,현대한국의형성,1 : 0.88,1 : 2.25,1 : 0.55,1 : 0.21,1 : 0.19
교양학부(사학),CHS2003-01,현대동아시아의형성,1 : 0.73,1 : 1.95,1 : 0.25,1 : 0.20,1 : 0.15
교양학부(사학),CHS2003-02,현대동아시아의형성,1 : 0.53,1 : 0.95,1 : 0.24,1 : 0.19,1 : 0.22
교양학부(사학),CHS2003-03,현대동아시아의형성,1 : 0.13,1 : 0.25,1 : 0.03,1 : 0.02,1 : 0.04
교양학부(사학),CHS2004-01,현대서양의형성,1 : 0.36,1 : 0.70,1 : 0.08,1 : 0.16,1 : 0.11
교양학부(사학),CHS2004-02,현대서양의형성,1 : 0.53,1 : 1.20,1 : 0.60,1 : 0.11,1 : 0.07
교양학부(사학),CHS2004-03,현대서양의형성,1 : 0.36,1 : 0.60,1 : 0.14,1 : 0.20,1 : 0.07
교양학부(사학),CHS2006-01,역사란무엇인가,1 : 0.19,1 : 0.45,1 : 0.06,1 : 0.02,1 : 0.04
교양학부,CHU4002-01,인물로본한국사,1 : 0.16,1 : 0.15,1 : 0.11,1 : 0.11,신청없음
교양학부,CHU4010-01,성의역사,1 : 0.20,1 : 0.15,1 : 0.11,1 : 0.17,신청없음
교양학부,CHU4011-01,영화로본역사,1 : 0.93,1 : 1.40,1 : 0.85,1 : 1.26,신청없음
교양학부,CHU4018-01,이주의역사,1 : 0.03,1 : 0.05,1 : 0.03,신청없음,신청없음
신문방송학전공,COM2001-01,커뮤니케이션학입문,1 : 0.07,쿼터없음,쿼터없음,쿼터없음,1 : 0.02
신문방송학전공,COM2001-02,커뮤니케이션학입문,1 : 0.19,1 : 0.45,1 : 0.10,1 : 0.06,신청없음
신문방송학전공,COM2002-01,인간커뮤니케이션,1 : 1.58,1 : 1.50,1 : 1.50,1 : 1.50,1 : 2.00
신문방송학전공,COM2004-01,커뮤니케이션조사론,1 : 1.83,1 : 1.60,1 : 1.87,1 : 1.87,쿼터없음
신문방송학전공,COM2006-01,컨텐츠기획론,1 : 1.47,1 : 0.70,1 : 1.38,1 : 1.85,쿼터없음
신문방송학전공,COM3101-01,저널리즘개론,1 : 0.58,1 : 0.77,1 : 0.54,1 : 0.19,쿼터없음
신문방송학전공,COM3102-01,방송원론,1 : 0.53,1 : 0.57,1 : 0.33,1 : 0.22,쿼터없음
신문방송학전공,COM3103-01,창의적말하기와글쓰기,1 : 2.37,1 : 0.20,1 : 0.46,1 : 3.28,쿼터없음
신문방송학전공,COM3111-01,대중문화론,1 : 0.60,1 : 0.70,1 : 0.48,1 : 0.38,쿼터없음
신문방송학전공,COM3117-01,미디어문화사,1 : 0.85,1 : 0.30,1 : 1.24,1 : 0.90,1 : 0.09
신문방송학전공,COM3119-01,미디어기호학,1 : 0.90,쿼터없음,1 : 0.93,1 : 0.75,쿼터없음
신문방송학전공,COM3120-01,융합적문제해결과커뮤니케이션,1 : 1.30,1 : 2.00,1 : 1.00,1 : 1.20,쿼터없음
신문방송학전공,COM3124-01,미디어편집의이해와실제,1 : 0.53,쿼터없음,1 : 0.53,1 : 0.36,쿼터없음
