과목코드+분반코드,과목명,전체,1학년,2학년,3학년,4학년
PHY2003-01,전자기학I,0.19 : 1,쿼터없음,0.27 : 1,0.07 : 1,0.03 : 1
PHY2004-01,전자기학II,0.57 : 1,쿼터없음,1.00 : 1,0.45 : 1,0.03 : 1
PHY2006-01,수리물리학II,0.43 : 1,쿼터없음,0.80 : 1,0.15 : 1,0.05 : 1
PHY2009-01,현대물리학,0.89 : 1,쿼터없음,2.10 : 1,0.47 : 1,0.17 : 1
PHY2102-01,실험물리학II,1.14 : 1,쿼터없음,1.20 : 1,2.00 : 1,신청없음
PHY2102-02,실험물리학II,1.14 : 1,쿼터없음,1.60 : 1,신청없음,신청없음
PHY2102-03,실험물리학II,0.57 : 1,쿼터없음,0.80 : 1,신청없음,신청없음
PHY2102-04,실험물리학II,0.57 : 1,쿼터없음,0.70 : 1,신청없음,0.14 : 1
PHY3002-01,양자물리학II,0.43 : 1,쿼터없음,신청없음,0.24 : 1,0.31 : 1
PHY3004-01,통계물리학,0.54 : 1,쿼터없음,0.03 : 1,0.43 : 1,0.33 : 1
PHY3102-01,실험물리학Ⅳ,1.30 : 1,쿼터없음,신청없음,1.38 : 1,1.00 : 1
PHY3102-02,실험물리학Ⅳ,1.10 : 1,쿼터없음,신청없음,0.88 : 1,1.33 : 1
PHY3102-03,실험물리학Ⅳ,1.20 : 1,쿼터없음,신청없음,1.25 : 1,1.00 : 1
PHY3102-04,실험물리학Ⅳ,0.80 : 1,쿼터없음,신청없음,0.63 : 1,0.60 : 1
PHY4008-01,전산물리학II,0.19 : 1,쿼터없음,0.15 : 1,0.11 : 1,0.08 : 1
PHY4010-01,일반상대성이론,0.23 : 1,쿼터없음,신청없음,0.14 : 1,0.14 : 1
PHY4012-01,나노물리,0.09 : 1,쿼터없음,신청없음,0.04 : 1,0.06 : 1
PHY4013-01,바이오물리,0.06 : 1,쿼터없음,신청없음,신청없음,0.06 : 1
PHY4201-01,특수연구,0.03 : 1,쿼터없음,쿼터없음,0.03 : 1,0.02 : 1
PHY4202-01,물리학특강,0.13 : 1,쿼터없음,신청없음,0.08 : 1,0.08 : 1
PHY4203-01,물리특허와기술이전,0.02 : 1,쿼터없음,신청없음,신청없음,0.02 : 1
PHY4204-01,졸업프로젝트,0.03 : 1,쿼터없음,쿼터없음,신청없음,0.03 : 1
PHYG003-01,통계역학,0.08 : 1,쿼터없음,쿼터없음,신청없음,0.08 : 1
POL2002-01,정치학개론,0.25 : 1,0.21 : 1,0.03 : 1,0.06 : 1,0.06 : 1
POL2002-02,정치학개론,0.32 : 1,0.34 : 1,0.18 : 1,0.18 : 1,0.07 : 1
POL2004-01,연구방법론,0.08 : 1,0.04 : 1,0.06 : 1,0.01 : 1,0.03 : 1
POL3094-01,정당과정당제,0.70 : 1,0.67 : 1,0.38 : 1,0.33 : 1,0.40 : 1
POL3106-01,동양정치사상,0.22 : 1,0.06 : 1,0.07 : 1,0.11 : 1,0.10 : 1
POL3122-01,소유와화폐의정치,0.10 : 1,신청없음,0.04 : 1,0.03 : 1,0.06 : 1
POL3132-01,동북아정치질서,0.26 : 1,0.10 : 1,0.13 : 1,0.11 : 1,0.11 : 1
POL3142-01,미국외교정책,0.17 : 1,0.02 : 1,0.13 : 1,0.07 : 1,0.06 : 1
POL3163-01,일본정치의이해,0.40 : 1,0.25 : 1,0.33 : 1,0.09 : 1,0.14 : 1
POL3165-01,중국정치의이해,1.05 : 1,쿼터없음,0.70 : 1,1.06 : 1,1.07 : 1
POL3170-01,유럽정치의이해,0.28 : 1,0.18 : 1,0.19 : 1,0.10 : 1,0.11 : 1
POL3179-01,비교민주주의론,0.06 : 1,0.02 : 1,0.02 : 1,0.04 : 1,0.02 : 1
POL3185-01,미국정치특강,0.59 : 1,0.30 : 1,0.48 : 1,0.23 : 1,0.32 : 1
POL4083-01,북한정치특강,0.65 : 1,0.92 : 1,0.46 : 1,0.13 : 1,0.33 : 1
POL4084-01,한반도정치론,0.28 : 1,0.02 : 1,0.17 : 1,0.17 : 1,0.10 : 1
POL4133-01,국제정치이론,0.16 : 1,0.02 : 1,0.09 : 1,0.06 : 1,0.07 : 1
POL4147-01,국제관계특강,0.15 : 1,신청없음,0.06 : 1,0.07 : 1,0.07 : 1
POL4155-01,국제관계실무토론과글쓰기,0.38 : 1,신청없음,0.13 : 1,0.05 : 1,0.31 : 1
PSY2001-01,일반심리학,1.80 : 1,1.27 : 1,1.47 : 1,2.10 : 1,쿼터없음
PSY2001-02,일반심리학,2.08 : 1,2.53 : 1,2.00 : 1,1.40 : 1,2.40 : 1
PSY2003-01,발달심리학,3.13 : 1,4.30 : 1,4.33 : 1,3.15 : 1,1.92 : 1
PSY3001-01,임상심리학,1.60 : 1,쿼터없음,1.60 : 1,1.47 : 1,1.70 : 1
PSY3002-01,상담심리학,0.92 : 1,쿼터없음,1.30 : 1,0.75 : 1,0.72 : 1
PSY3009-01,사회심리학,0.40 : 1,0.27 : 1,0.24 : 1,0.21 : 1,0.15 : 1
PSY3013-01,지각심리학,1.13 : 1,0.30 : 1,0.70 : 1,0.68 : 1,1.42 : 1
PSY3016-01,동기및정서심리학,1.11 : 1,0.25 : 1,0.77 : 1,1.00 : 1,1.45 : 1
PSY3020-01,아동청소년상담과심리치료,1.34 : 1,쿼터없음,0.90 : 1,1.64 : 1,1.33 : 1
PSY3025-01,개인차의심리학,2.69 : 1,쿼터없음,3.00 : 1,3.07 : 1,2.00 : 1
PSY4002-01,심리검사및측정,0.69 : 1,0.10 : 1,0.28 : 1,0.34 : 1,0.53 : 1
PSY4016-01,조직심리학,1.48 : 1,쿼터없음,1.80 : 1,1.33 : 1,1.40 : 1
PSY4019-01,독서심리학,0.83 : 1,쿼터없음,0.50 : 1,0.53 : 1,0.71 : 1
PSY4025-01,심리학연구방법론,0.28 : 1,쿼터없음,신청없음,0.13 : 1,0.22 : 1
PSY4045-01,자기와정체성,0.70 : 1,쿼터없음,0.60 : 1,0.42 : 1,0.59 : 1
PSY4046-01,성격심리학의주요관점,0.22 : 1,쿼터없음,신청없음,0.03 : 1,0.20 : 1
PSYG002-01,인지실험심리학,0.22 : 1,쿼터없음,신청없음,0.17 : 1,0.13 : 1
PSYG003-01,실험설계및통계분석,0.50 : 1,쿼터없음,신청없음,0.20 : 1,0.44 : 1
PUB2001-01,법과정의,0.95 : 1,쿼터없음,쿼터없음,0.40 : 1,0.81 : 1
PUB2005-01,법과현대사회,0.95 : 1,0.80 : 1,0.42 : 1,0.47 : 1,0.89 : 1
PUB2006-01,사회현상과법,0.21 : 1,신청없음,0.03 : 1,0.08 : 1,0.15 : 1
PUB3001-01,국민의기본적권리에대한이해,1.00 : 1,신청없음,0.15 : 1,0.48 : 1,쿼터없음
PUB3002-01,국가와통치구조에대한이해,0.29 : 1,0.05 : 1,0.13 : 1,0.07 : 1,0.19 : 1
PUB3003-01,법치행정의이해,0.31 : 1,0.03 : 1,0.20 : 1,0.16 : 1,0.13 : 1
PUB3005-01,재산관계와법II,0.50 : 1,쿼터없음,신청없음,0.20 : 1,0.38 : 1
PUB3006-01,가족관계와법,0.33 : 1,0.25 : 1,0.09 : 1,0.15 : 1,0.16 : 1
PUB3008-01,범죄와형벌의이해,0.13 : 1,신청없음,0.04 : 1,0.03 : 1,0.09 : 1
PUB3010-01,기업과법,0.23 : 1,신청없음,0.03 : 1,0.03 : 1,0.19 : 1
PUB3015-01,소유권과법,0.39 : 1,신청없음,0.23 : 1,0.14 : 1,0.23 : 1
PUB3019-01,미국의법체계와소송,0.66 : 1,0.15 : 1,0.41 : 1,0.36 : 1,0.43 : 1
PUB4002-01,환경과법,0.16 : 1,신청없음,0.03 : 1,0.07 : 1,0.11 : 1
PUB4010-01,형사절차의이해Ⅱ,0.16 : 1,신청없음,0.08 : 1,0.11 : 1,0.06 : 1
REL2001-01,종교의이해,0.15 : 1,0.30 : 1,신청없음,0.07 : 1,0.03 : 1
REL3010-01,현대사회와이슬람교,0.04 : 1,0.03 : 1,0.01 : 1,0.01 : 1,0.03 : 1
REL3017-01,중국문화속의유교와도교,0.04 : 1,신청없음,신청없음,0.01 : 1,0.03 : 1
REL3018-01,불교강독,0.03 : 1,신청없음,0.03 : 1,0.01 : 1,0.01 : 1
REL3020-01,유교강독,0.01 : 1,신청없음,신청없음,신청없음,0.01 : 1
REL3021-01,도교강독,0.35 : 1,0.60 : 1,0.21 : 1,0.05 : 1,0.13 : 1
REL3022-01,한국종교의이해,0.25 : 1,0.30 : 1,0.18 : 1,신청없음,0.12 : 1
REL3028-01,종교인류학,0.23 : 1,0.10 : 1,신청없음,0.10 : 1,0.14 : 1
REL3039-01,종교간의대화,0.04 : 1,신청없음,0.04 : 1,0.02 : 1,0.01 : 1
RELG001-01,종교연구방법론,0.06 : 1,신청없음,0.01 : 1,0.03 : 1,0.04 : 1
ROT4001-01,안보학,0.25 : 1,쿼터없음,쿼터없음,0.25 : 1,쿼터없음
ROT4003-01,조직리더십,0.05 : 1,쿼터없음,쿼터없음,쿼터없음,0.05 : 1
SHS2001-01,현대사회의이해,0.80 : 1,1.57 : 1,0.27 : 1,0.24 : 1,0.29 : 1
SHS2001-02,현대사회의이해,1.04 : 1,2.33 : 1,0.40 : 1,0.34 : 1,0.20 : 1
SHS2002-01,한국과세계,0.74 : 1,2.12 : 1,0.60 : 1,0.03 : 1,0.08 : 1
SHS2002-02,한국과세계,0.28 : 1,0.80 : 1,0.13 : 1,0.04 : 1,0.03 : 1
SHS2002-03,한국과세계,0.59 : 1,1.36 : 1,0.40 : 1,0.13 : 1,0.17 : 1
SHS2002-04,한국과세계,0.12 : 1,0.40 : 1,신청없음,0.02 : 1,0.01 : 1
SHS2002-05,한국과세계,0.43 : 1,0.38 : 1,쿼터없음,쿼터없음,쿼터없음
SHS2002-06,한국과세계,0.60 : 1,0.58 : 1,쿼터없음,쿼터없음,쿼터없음
SHS2002-07,한국과세계,0.34 : 1,쿼터없음,0.20 : 1,0.10 : 1,0.15 : 1
SHS2003-01,커뮤니케이션과사회,0.11 : 1,0.18 : 1,0.07 : 1,0.02 : 1,0.03 : 1
SHS2005-01,법과지식산업,0.21 : 1,0.40 : 1,신청없음,신청없음,0.04 : 1
SHS2005-02,법과지식산업,0.19 : 1,0.23 : 1,0.08 : 1,0.01 : 1,0.04 : 1
SHS2005-03,법과지식산업,1.67 : 1,2.08 : 1,1.30 : 1,1.20 : 1,1.70 : 1
SHS2005-04,법과지식산업,2.39 : 1,3.35 : 1,1.70 : 1,1.10 : 1,2.50 : 1
SHS2005-05,법과지식산업,0.82 : 1,1.33 : 1,0.40 : 1,0.09 : 1,0.26 : 1
SHS2007-01,생활속의심리학,1.04 : 1,1.96 : 1,0.30 : 1,0.31 : 1,0.30 : 1
SHS2007-02,생활속의심리학,1.03 : 1,2.20 : 1,1.50 : 1,0.20 : 1,0.11 : 1
SHS2007-03,생활속의심리학,2.60 : 1,6.00 : 1,2.05 : 1,0.85 : 1,1.30 : 1
SHU4001-01,북한의이해와통일후한국,0.17 : 1,0.06 : 1,0.07 : 1,0.08 : 1,0.07 : 1
SHU4004-01,평화교육론,0.02 : 1,신청없음,신청없음,신청없음,0.02 : 1
SHU4006-01,인권과정의,0.08 : 1,신청없음,0.03 : 1,신청없음,0.07 : 1
SHU4007-01,국제이해교육,0.07 : 1,0.04 : 1,0.01 : 1,신청없음,0.06 : 1
SHU4023-01,성의식과인간이해,0.01 : 1,신청없음,신청없음,신청없음,0.01 : 1
SHU4027-01,영화로사회읽기,0.32 : 1,0.24 : 1,0.11 : 1,0.08 : 1,0.19 : 1
SHU4031-01,인권과교육,0.09 : 1,신청없음,신청없음,0.02 : 1,0.07 : 1
SHU4054-01,인간관계의심리와대인관계기술,1.90 : 1,쿼터없음,2.05 : 1,1.10 : 1,2.40 : 1
SHU4067-01,동남아시아현대사회의이해,0.13 : 1,신청없음,신청없음,0.03 : 1,0.10 : 1
SHU4068-01,한중정치사회의이해(중국어),0.68 : 1,쿼터없음,1.80 : 1,0.33 : 1,0.16 : 1
SHU4068-02,한중정치사회의이해(중국어),0.70 : 1,쿼터없음,1.70 : 1,0.47 : 1,0.13 : 1
SHU4068-03,한중정치사회의이해(중국어),1.25 : 1,쿼터없음,2.50 : 1,1.27 : 1,0.33 : 1
SHU4071-01,기업으로본아시아현대사회,0.27 : 1,0.50 : 1,0.12 : 1,0.02 : 1,0.14 : 1
SOC2001-01,사회학개론,0.28 : 1,0.23 : 1,0.13 : 1,0.08 : 1,0.11 : 1
SOC2001-02,사회학개론,0.16 : 1,0.18 : 1,0.02 : 1,0.02 : 1,0.03 : 1
SOC2007-01,이론과사회:현대에서포스트모던이론까지,0.54 : 1,0.50 : 1,0.43 : 1,0.49 : 1,0.15 : 1
SOC3001-01,문화사회학,0.19 : 1,0.10 : 1,신청없음,0.08 : 1,0.12 : 1
SOC3003-01,사회심리학,1.01 : 1,1.75 : 1,1.50 : 1,0.53 : 1,0.45 : 1
SOC3011-01,도시사회학,0.73 : 1,0.10 : 1,0.26 : 1,0.47 : 1,0.56 : 1
SOC3012-01,성과사회,0.10 : 1,신청없음,0.10 : 1,0.05 : 1,0.03 : 1
SOC3014-01,종교사회학,0.14 : 1,신청없음,0.07 : 1,0.02 : 1,0.10 : 1
SOC3018-01,일상생활의사회학,0.12 : 1,0.15 : 1,0.03 : 1,0.03 : 1,0.06 : 1
SOC3019-01,교육사회학,0.34 : 1,0.30 : 1,0.11 : 1,0.23 : 1,0.15 : 1
SOC3022-01,경제사회학,0.33 : 1,신청없음,0.25 : 1,0.17 : 1,0.16 : 1
SOC3031-01,과학사회학,0.24 : 1,0.30 : 1,0.07 : 1,0.04 : 1,0.16 : 1
SOC3032-01,현대사회와세대문제,0.23 : 1,0.07 : 1,0.07 : 1,0.14 : 1,0.10 : 1
SOC3046-01,한국사회론,0.15 : 1,0.05 : 1,0.10 : 1,0.11 : 1,0.03 : 1
SOC4001-01,졸업논문,0.05 : 1,쿼터없음,쿼터없음,쿼터없음,0.05 : 1
SPM3001-01,운동처방,0.08 : 1,신청없음,신청없음,0.03 : 1,0.06 : 1
SPM3004-01,스포츠프로모션,0.14 : 1,0.08 : 1,신청없음,0.08 : 1,0.07 : 1
SPM3005-01,레크리에이션의이론과실제,0.05 : 1,0.10 : 1,신청없음,0.03 : 1,신청없음
SPM3006-01,스포츠경영특강,0.02 : 1,신청없음,신청없음,0.03 : 1,신청없음
SPM3007-01,스포츠사회학,0.12 : 1,신청없음,0.04 : 1,0.08 : 1,0.04 : 1
SPM3008-01,스포츠커뮤니케이션,0.08 : 1,신청없음,신청없음,0.03 : 1,0.06 : 1
SPM3009-01,스포츠마케팅,0.14 : 1,0.08 : 1,0.04 : 1,0.03 : 1,0.09 : 1
SPM3011-01,스포츠생리학,0.40 : 1,0.42 : 1,0.16 : 1,0.10 : 1,0.23 : 1
SPM3012-01,스포츠심리학,0.02 : 1,신청없음,신청없음,0.03 : 1,신청없음
SPM3106-01,체력트레이닝,0.77 : 1,신청없음,0.36 : 1,0.18 : 1,0.68 : 1
SPM3113-02,댄스스포츠I,0.23 : 1,신청없음,신청없음,0.05 : 1,0.21 : 1
SPM3119-01,파워요가,0.10 : 1,신청없음,신청없음,신청없음,0.10 : 1
SPM3120-01,댄스피트니스,0.07 : 1,신청없음,신청없음,0.05 : 1,0.03 : 1
SPM3120-02,댄스피트니스,0.03 : 1,신청없음,신청없음,신청없음,0.03 : 1
STS2001-01,자연과인간,1.64 : 1,3.00 : 1,1.50 : 1,1.10 : 1,0.95 : 1
STS2002-01,생명과환경,0.30 : 1,0.34 : 1,0.06 : 1,0.07 : 1,0.05 : 1
STS2002-02,생명과환경,1.28 : 1,1.50 : 1,0.93 : 1,1.08 : 1,1.20 : 1
STS2004-01,대학수학,3.32 : 1,2.64 : 1,8.20 : 1,4.67 : 1,6.00 : 1
STS2004-02,대학수학,0.32 : 1,0.16 : 1,0.15 : 1,0.07 : 1,0.02 : 1
STS2004-03,대학수학,0.53 : 1,0.34 : 1,0.24 : 1,0.03 : 1,0.15 : 1
STS2004-04,대학수학,0.12 : 1,0.06 : 1,0.04 : 1,0.02 : 1,0.02 : 1
STS2004-05,대학수학,0.98 : 1,0.74 : 1,0.89 : 1,0.80 : 1,0.67 : 1
STS2004-06,대학수학,0.23 : 1,0.18 : 1,0.04 : 1,0.06 : 1,신청없음
STS2004-07,대학수학,0.30 : 1,0.14 : 1,0.13 : 1,0.09 : 1,0.02 : 1
STS2004-08,대학수학,0.17 : 1,0.08 : 1,0.10 : 1,0.02 : 1,신청없음
STS2005-01,미적분학I,2.30 : 1,1.48 : 1,8.00 : 1,5.33 : 1,4.00 : 1
STS2006-01,미적분학II,0.28 : 1,0.31 : 1,신청없음,신청없음,신청없음
STS2006-02,미적분학II,0.47 : 1,0.24 : 1,0.21 : 1,0.05 : 1,0.14 : 1
STS2006-03,미적분학II,1.82 : 1,1.58 : 1,4.00 : 1,1.67 : 1,2.50 : 1
STS2006-04,미적분학II,0.70 : 1,0.68 : 1,0.24 : 1,0.11 : 1,0.05 : 1
STS2006-05,미적분학II,0.58 : 1,0.58 : 1,0.15 : 1,0.08 : 1,신청없음
STS2006-06,미적분학II,1.25 : 1,1.38 : 1,0.60 : 1,0.60 : 1,신청없음
STS2006-07,미적분학II,0.27 : 1,0.24 : 1,0.07 : 1,신청없음,0.02 : 1
STS2006-08,미적분학II,1.57 : 1,1.40 : 1,2.80 : 1,2.33 : 1,1.50 : 1
STS2006-09,미적분학II,1.78 : 1,1.50 : 1,4.00 : 1,3.00 : 1,1.50 : 1
STS2006-10,미적분학II,0.87 : 1,0.70 : 1,0.60 : 1,0.36 : 1,0.11 : 1
STS2006-11,미적분학II,0.78 : 1,0.66 : 1,0.55 : 1,0.08 : 1,0.07 : 1
STS2008-01,고급응용C프로그래밍,0.71 : 1,쿼터없음,0.66 : 1,0.35 : 1,0.19 : 1
STS2008-02,고급응용C프로그래밍,0.71 : 1,쿼터없음,0.46 : 1,0.38 : 1,0.30 : 1
STS2008-03,고급응용C프로그래밍,0.09 : 1,쿼터없음,0.03 : 1,0.05 : 1,0.02 : 1
STS2008-04,고급응용C프로그래밍,0.71 : 1,쿼터없음,0.63 : 1,0.39 : 1,0.19 : 1
STS2010-01,과학사,1.99 : 1,3.37 : 1,0.85 : 1,0.62 : 1,0.87 : 1
STS2010-02,과학사,0.26 : 1,0.20 : 1,0.14 : 1,0.04 : 1,0.07 : 1
STS2011-01,기초빅데이터프로그래밍,1.10 : 1,쿼터없음,0.27 : 1,0.67 : 1,1.30 : 1
STS2011-02,기초빅데이터프로그래밍,1.13 : 1,쿼터없음,0.55 : 1,0.73 : 1,1.43 : 1
STU4004-01,생명의신비,0.12 : 1,신청없음,0.10 : 1,0.03 : 1,0.05 : 1
STU4005-01,바다의이해,2.63 : 1,1.40 : 1,1.45 : 1,1.40 : 1,6.25 : 1
STU4011-01,우주와원자시대,0.01 : 1,0.03 : 1,신청없음,신청없음,신청없음
STU4011-02,우주와원자시대,1.16 : 1,1.67 : 1,0.90 : 1,0.50 : 1,0.44 : 1
STU4011-03,우주와원자시대,1.36 : 1,2.23 : 1,0.55 : 1,0.26 : 1,0.50 : 1
STU4016-01,사상의학의이해,0.49 : 1,0.24 : 1,0.23 : 1,0.10 : 1,0.35 : 1
STU4023-01,우주와인생,0.18 : 1,0.13 : 1,0.03 : 1,0.02 : 1,0.13 : 1
SUA2003-01,창의적문제해결과신제품개발(스타트업),0.17 : 1,쿼터없음,0.30 : 1,0.06 : 1,0.04 : 1
SUA2005-01,실전스타트업(캡스톤디자인),0.15 : 1,쿼터없음,쿼터없음,신청없음,0.10 : 1
SUA4003-01,벤처창업과투자유치실습,0.27 : 1,쿼터없음,0.10 : 1,0.05 : 1,0.21 : 1
SUA4010-01,스타트업사업운영실습,0.13 : 1,쿼터없음,신청없음,0.05 : 1,0.10 : 1
TLS1001-01,독서와토론,1.03 : 1,0.33 : 1,1.00 : 1,1.20 : 1,1.00 : 1
TLS1002-01,비평적글쓰기연습,0.83 : 1,0.20 : 1,0.24 : 1,0.67 : 1,0.55 : 1
TLS1002-02,비평적글쓰기연습,2.17 : 1,0.47 : 1,1.08 : 1,4.80 : 1,4.00 : 1
TLS1003-01,스토리텔링글쓰기연습,3.07 : 1,2.47 : 1,3.80 : 1,3.40 : 1,3.80 : 1
TLS1003-02,스토리텔링글쓰기연습,0.50 : 1,0.27 : 1,0.06 : 1,0.25 : 1,0.25 : 1
TLS1004-01,영어글로벌의사소통II,0.73 : 1,1.29 : 1,0.86 : 1,0.14 : 1,0.25 : 1
TLS1004-02,영어글로벌의사소통II,0.62 : 1,1.57 : 1,0.43 : 1,0.10 : 1,0.07 : 1
TLS1004-03,영어글로벌의사소통II,1.04 : 1,2.57 : 1,0.71 : 1,0.25 : 1,0.17 : 1
TLS1004-04,영어글로벌의사소통II,0.65 : 1,1.71 : 1,0.29 : 1,0.18 : 1,0.07 : 1
TLS1004-05,영어글로벌의사소통II,0.46 : 1,0.71 : 1,0.56 : 1,0.10 : 1,0.07 : 1
TLS1004-06,영어글로벌의사소통II,0.19 : 1,신청없음,0.14 : 1,0.06 : 1,0.09 : 1
TLS1004-07,영어글로벌의사소통II,1.00 : 1,2.14 : 1,1.00 : 1,0.33 : 1,0.20 : 1
TLS1004-08,영어글로벌의사소통II,0.96 : 1,2.86 : 1,0.43 : 1,0.10 : 1,0.07 : 1
TLS1004-09,영어글로벌의사소통II,0.77 : 1,1.71 : 1,0.57 : 1,0.33 : 1,0.08 : 1
