과목코드+분반코드,과목명,전체,1학년,2학년,3학년,4학년
HSS3024-01,글로벌기업CEO특강,2.23 : 1,쿼터없음,1.30 : 1,1.77 : 1,쿼터없음
HSS3025-01,진로탐색심화,2.46 : 1,쿼터없음,5.50 : 1,1.75 : 1,쿼터없음
JAS3001-01,저널리즘개론,0.40 : 1,쿼터없음,0.23 : 1,0.27 : 1,0.16 : 1
JAS3003-01,네트워크사회와미디어,1.05 : 1,쿼터없음,0.20 : 1,0.75 : 1,1.10 : 1
JAS3006-01,융합적미디어글쓰기,0.40 : 1,쿼터없음,0.10 : 1,0.05 : 1,0.36 : 1
JAS3007-01,광고4.0,0.56 : 1,쿼터없음,0.50 : 1,0.52 : 1,0.31 : 1
JAS3009-01,광고카피라이팅과전략적글쓰기,0.16 : 1,신청없음,0.05 : 1,0.12 : 1,0.06 : 1
JAS3011-01,PR글쓰기와실무,2.50 : 1,쿼터없음,2.00 : 1,2.55 : 1,2.70 : 1
JAS4003-01,미디어문화사,0.58 : 1,쿼터없음,0.25 : 1,0.46 : 1,0.36 : 1
JAS4006-01,광고커뮤니케이션과소비자심리분석,0.73 : 1,쿼터없음,0.40 : 1,0.59 : 1,0.52 : 1
JAS4009-01,공공외교와글로벌전략커뮤니케이션,1.63 : 1,쿼터없음,0.23 : 1,1.04 : 1,2.71 : 1
JAS4010-01,"창의적뉴스,다큐멘터리랩",0.07 : 1,쿼터없음,신청없음,신청없음,0.07 : 1
JAS4011-01,마케팅커뮤니케이션과시장읽기,0.13 : 1,0.05 : 1,신청없음,0.07 : 1,0.07 : 1
JAS4015-01,미디어스토리텔링연구,0.67 : 1,쿼터없음,신청없음,0.35 : 1,0.57 : 1
JAS4018-01,기계학습기반의텍스트마이닝,0.07 : 1,신청없음,신청없음,0.09 : 1,신청없음
JAS4022-01,매스컴효과론,0.60 : 1,쿼터없음,0.40 : 1,0.44 : 1,0.37 : 1
JAS4030-01,마케팅PR,2.37 : 1,쿼터없음,1.00 : 1,3.20 : 1,2.90 : 1
JAS4032-01,소셜미디어와글로벌소비자행동,0.24 : 1,쿼터없음,0.30 : 1,0.07 : 1,0.16 : 1
JPN2001-01,중급일본어I,0.49 : 1,신청없음,0.35 : 1,0.17 : 1,0.25 : 1
JPN2003-01,미디어일본어,0.63 : 1,0.60 : 1,0.50 : 1,0.25 : 1,0.41 : 1
JPN2004-01,일본어회화,0.31 : 1,0.40 : 1,0.31 : 1,0.21 : 1,0.04 : 1
JPN2011-01,일본소설강독,0.18 : 1,0.10 : 1,신청없음,0.10 : 1,0.08 : 1
JPN2013-01,일본문화특강I,1.23 : 1,1.20 : 1,0.90 : 1,1.18 : 1,1.50 : 1
JPN3001-01,일본사회의이해,0.37 : 1,0.20 : 1,0.07 : 1,0.15 : 1,0.25 : 1
JPN4005-01,일본문학특강,0.13 : 1,신청없음,0.08 : 1,0.05 : 1,0.06 : 1
KCS1001-01,한국문화의이해와체험,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KCS1001-02,한국문화의이해와체험,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KCS1001-03,한국문화의이해와체험,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KCS1002-01,대학생활과학문의탐색,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
KCS1002-02,대학생활과학문의탐색,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
