과목코드+분반코드,개설전공,과목명,전체,2학년,3학년,4학년,1학년
MGT4223-01,경영학전공,정보기술과글로벌소셜비즈니스모델(캡스톤디자인),1.71 : 1,쿼터없음,1.26 : 1,2.02 : 1,쿼터없음
MGT4226-01,경영학전공,빅데이터와비즈니스인텔리젼스,3.66 : 1,0.70 : 1,2.89 : 1,13.80 : 1,신청없음
MGT4241-01,경영학전공,기술경영,1.24 : 1,0.20 : 1,0.34 : 1,1.33 : 1,쿼터없음
MGT4247-01,경영학전공,공급체인관리와e-business,0.31 : 1,신청없음,0.09 : 1,0.27 : 1,쿼터없음
MGT4301-01,경영학전공,투자론,1.74 : 1,0.55 : 1,1.86 : 1,2.85 : 1,신청없음
MGT4301-02,경영학전공,투자론,1.83 : 1,0.35 : 1,2.00 : 1,2.75 : 1,신청없음
MGT4303-01,경영학전공,파생상품론,3.23 : 1,0.60 : 1,3.18 : 1,6.25 : 1,신청없음
MGT4307-01,경영학전공,금융기관론,2.74 : 1,1.00 : 1,3.80 : 1,4.80 : 1,신청없음
MGT4308-01,경영학전공,벤처캐피탈과투자분석(캡스톤디자인),0.27 : 1,쿼터없음,0.10 : 1,0.23 : 1,쿼터없음
MGT4310-01,경영학전공,가치평가이론과실무,0.82 : 1,쿼터없음,0.43 : 1,0.74 : 1,쿼터없음
MGT4313-01,경영학전공,벤처와금융시장(캡스톤디자인),1.89 : 1,0.07 : 1,1.00 : 1,3.45 : 1,쿼터없음
MGT4401-01,경영학전공,중급회계1,0.62 : 1,0.15 : 1,0.61 : 1,0.39 : 1,신청없음
MGT4402-01,경영학전공,중급회계2,0.74 : 1,0.06 : 1,0.57 : 1,0.50 : 1,쿼터없음
MGT4404-01,경영학전공,원가회계,2.37 : 1,0.37 : 1,1.96 : 1,5.90 : 1,쿼터없음
MGT4505-01,경영학전공,브랜드전략론,2.19 : 1,1.50 : 1,1.77 : 1,2.83 : 1,쿼터없음
MGT4507-01,경영학전공,유통전략론,0.57 : 1,0.90 : 1,0.39 : 1,0.41 : 1,쿼터없음
MGT4510-01,경영학전공,국제마케팅론,0.26 : 1,신청없음,0.03 : 1,0.25 : 1,쿼터없음
MGT4515-01,경영학전공,빅데이터마케팅,0.68 : 1,0.05 : 1,0.33 : 1,쿼터없음,쿼터없음
MGT4601-01,경영학전공,기업과국제환경,1.26 : 1,0.30 : 1,1.21 : 1,1.37 : 1,쿼터없음
MGT4604-01,경영학전공,국제경영전략,0.37 : 1,0.05 : 1,0.13 : 1,0.31 : 1,쿼터없음
MGT4605-01,경영학전공,무역경영관리,3.00 : 1,0.40 : 1,2.28 : 1,4.30 : 1,쿼터없음
MGT4701-01,경영학전공,경영영어라이팅,0.20 : 1,신청없음,0.04 : 1,0.07 : 1,신청없음
MGT4712-01,경영학전공,"지식,인성그리고경영",0.23 : 1,쿼터없음,0.13 : 1,쿼터없음,쿼터없음
MGT4713-01,경영학전공,사회적가치창출프랙티컴,1.61 : 1,쿼터없음,1.09 : 1,2.11 : 1,쿼터없음
PEP3100-01,정치학/경제학/철학 연계전공,사회변동과제도의정치경제학,0.02 : 1,0.02 : 1,0.02 : 1,신청없음,신청없음
PHI2002-01,철학전공,동양철학개론,0.28 : 1,0.43 : 1,0.17 : 1,0.09 : 1,0.01 : 1
PHI2003-01,철학전공,서양철학사,0.50 : 1,0.73 : 1,0.34 : 1,0.15 : 1,쿼터없음
PHI2005-01,철학전공,논리학개론,0.45 : 1,0.53 : 1,0.41 : 1,0.16 : 1,0.04 : 1
PHI2006-01,철학전공,형이상학,0.11 : 1,0.03 : 1,0.12 : 1,0.02 : 1,쿼터없음
PHI3002-01,철학전공,서양중세철학사,0.42 : 1,0.40 : 1,0.31 : 1,0.17 : 1,쿼터없음
PHI3003-01,철학전공,서양근대철학사,0.25 : 1,0.05 : 1,0.21 : 1,0.12 : 1,쿼터없음
PHI3027-01,철학전공,과학철학,1.02 : 1,0.75 : 1,0.92 : 1,1.05 : 1,쿼터없음
PHI3029-01,철학전공,종교철학,0.42 : 1,0.20 : 1,0.42 : 1,0.15 : 1,쿼터없음
PHI3030-01,철학전공,언어철학,0.40 : 1,0.25 : 1,0.29 : 1,0.20 : 1,쿼터없음
PHI3033-01,철학전공,"선진,한철학사",0.60 : 1,0.30 : 1,0.50 : 1,0.35 : 1,쿼터없음
PHI3036-01,철학전공,중국근현대철학사,0.37 : 1,0.10 : 1,0.21 : 1,0.24 : 1,쿼터없음
PHI4001-01,철학전공,소크라테스이전철학과소크라테스철학,0.45 : 1,0.20 : 1,0.33 : 1,0.25 : 1,쿼터없음
PHI4037-01,철학전공,서양철학의원리,0.10 : 1,0.15 : 1,0.05 : 1,0.02 : 1,쿼터없음
PHY1001-01,물리학전공,일반물리I,0.31 : 1,1.60 : 1,0.80 : 1,0.17 : 1,0.02 : 1
PHY1001-02,물리학전공,일반물리I,0.37 : 1,1.50 : 1,0.80 : 1,0.17 : 1,0.11 : 1
PHY1001-03,물리학전공,일반물리I,0.34 : 1,1.30 : 1,1.20 : 1,0.60 : 1,0.04 : 1
PHY1001-04,물리학전공,일반물리I,0.01 : 1,신청없음,신청없음,신청없음,0.01 : 1
PHY1001-05,물리학전공,일반물리I,0.89 : 1,4.00 : 1,2.40 : 1,0.40 : 1,0.15 : 1
PHY1001-06,물리학전공,일반물리I,0.09 : 1,0.40 : 1,0.09 : 1,0.07 : 1,신청없음
PHY1001-07,물리학전공,일반물리I,0.06 : 1,0.30 : 1,0.08 : 1,신청없음,신청없음
PHY1001-08,물리학전공,일반물리I,0.23 : 1,0.50 : 1,0.70 : 1,0.13 : 1,0.05 : 1
PHY1001-09,물리학전공,일반물리I,0.21 : 1,1.10 : 1,0.20 : 1,0.33 : 1,신청없음
PHY1001-10,물리학전공,일반물리I,0.06 : 1,0.20 : 1,0.08 : 1,0.06 : 1,신청없음
PHY1101-01,물리학전공,일반물리실험I,0.94 : 1,4.50 : 1,4.00 : 1,2.00 : 1,신청없음
PHY1101-02,물리학전공,일반물리실험I,2.44 : 1,14.00 : 1,4.00 : 1,4.00 : 1,0.25 : 1
PHY1101-03,물리학전공,일반물리실험I,0.13 : 1,신청없음,0.33 : 1,신청없음,0.07 : 1
PHY1101-04,물리학전공,일반물리실험I,0.31 : 1,0.50 : 1,1.50 : 1,신청없음,0.08 : 1
PHY1101-05,물리학전공,일반물리실험I,0.13 : 1,0.50 : 1,신청없음,0.33 : 1,신청없음
PHY1101-07,물리학전공,일반물리실험I,0.44 : 1,1.50 : 1,1.00 : 1,3.00 : 1,신청없음
PHY1101-08,물리학전공,일반물리실험I,0.19 : 1,1.00 : 1,신청없음,신청없음,0.07 : 1
PHY1101-09,물리학전공,일반물리실험I,0.13 : 1,신청없음,신청없음,0.50 : 1,신청없음
PHY1101-10,물리학전공,일반물리실험I,0.25 : 1,신청없음,0.67 : 1,신청없음,0.14 : 1
PHY1101-11,물리학전공,일반물리실험I,0.19 : 1,1.00 : 1,신청없음,0.50 : 1,신청없음
PHY1101-12,물리학전공,일반물리실험I,0.06 : 1,신청없음,신청없음,0.25 : 1,신청없음
PHY1101-13,물리학전공,일반물리실험I,0.44 : 1,1.00 : 1,3.00 : 1,2.00 : 1,신청없음
PHY1101-14,물리학전공,일반물리실험I,0.50 : 1,1.50 : 1,4.00 : 1,1.00 : 1,신청없음
PHY1101-15,물리학전공,일반물리실험I,0.25 : 1,1.00 : 1,2.00 : 1,신청없음,신청없음
PHY1101-16,물리학전공,일반물리실험I,0.31 : 1,0.50 : 1,1.50 : 1,신청없음,0.08 : 1
PHY1101-17,물리학전공,일반물리실험I,0.25 : 1,신청없음,0.67 : 1,0.50 : 1,0.08 : 1
PHY1101-18,물리학전공,일반물리실험I,0.25 : 1,신청없음,0.67 : 1,1.00 : 1,신청없음
PHY1101-19,물리학전공,일반물리실험I,0.44 : 1,1.50 : 1,2.00 : 1,1.00 : 1,0.08 : 1
PHY1101-20,물리학전공,일반물리실험I,0.25 : 1,1.00 : 1,신청없음,1.00 : 1,신청없음
PHY1101-21,물리학전공,일반물리실험I,0.63 : 1,4.50 : 1,신청없음,신청없음,0.07 : 1
PHY1101-22,물리학전공,일반물리실험I,0.38 : 1,3.00 : 1,신청없음,신청없음,신청없음
PHY1101-23,물리학전공,일반물리실험I,0.13 : 1,0.50 : 1,0.50 : 1,신청없음,신청없음
PHY1101-24,물리학전공,일반물리실험I,0.25 : 1,1.00 : 1,2.00 : 1,신청없음,신청없음
PHY1101-25,물리학전공,일반물리실험I,0.13 : 1,0.50 : 1,신청없음,0.33 : 1,신청없음
PHY1101-26,물리학전공,일반물리실험I,0.13 : 1,1.00 : 1,신청없음,신청없음,신청없음
PHY1101-27,물리학전공,일반물리실험I,0.19 : 1,1.00 : 1,1.00 : 1,신청없음,신청없음
PHY1101-28,물리학전공,일반물리실험I,0.06 : 1,0.50 : 1,신청없음,신청없음,신청없음
PHY2001-01,물리학전공,역학I,0.57 : 1,1.03 : 1,0.15 : 1,0.16 : 1,쿼터없음
PHY2003-01,물리학전공,전자기학I,0.60 : 1,1.13 : 1,0.25 : 1,0.06 : 1,쿼터없음
PHY2004-01,물리학전공,전자기학II,0.07 : 1,0.07 : 1,0.02 : 1,0.03 : 1,쿼터없음
PHY2005-01,물리학전공,수리물리학I,0.69 : 1,2.15 : 1,0.17 : 1,신청없음,쿼터없음
PHY2101-01,물리학전공,실험물리학I,1.14 : 1,1.60 : 1,신청없음,신청없음,쿼터없음
PHY2101-02,물리학전공,실험물리학I,1.36 : 1,1.70 : 1,0.50 : 1,0.33 : 1,쿼터없음
PHY2101-03,물리학전공,실험물리학I,0.64 : 1,0.70 : 1,0.20 : 1,0.17 : 1,쿼터없음
PHY2101-04,물리학전공,실험물리학I,0.29 : 1,0.20 : 1,신청없음,0.17 : 1,쿼터없음
PHY3001-01,물리학전공,양자물리학I,0.37 : 1,0.10 : 1,0.33 : 1,0.15 : 1,쿼터없음
PHY3003-01,물리학전공,열역학,0.51 : 1,0.20 : 1,0.46 : 1,0.24 : 1,쿼터없음
PHY3101-01,물리학전공,실험물리학III,1.36 : 1,1.00 : 1,1.10 : 1,3.00 : 1,쿼터없음
PHY3101-02,물리학전공,실험물리학III,0.93 : 1,0.50 : 1,0.82 : 1,0.75 : 1,쿼터없음
PHY3101-03,물리학전공,실험물리학III,0.79 : 1,1.00 : 1,0.90 : 1,신청없음,쿼터없음
PHY4001-01,물리학전공,고체물리학I,0.29 : 1,신청없음,0.06 : 1,0.25 : 1,쿼터없음
PHY4003-01,물리학전공,현대광학I,0.19 : 1,0.05 : 1,0.14 : 1,0.08 : 1,쿼터없음
PHY4005-01,물리학전공,기초입자이론I,0.19 : 1,신청없음,0.04 : 1,0.16 : 1,쿼터없음
PHY4201-01,물리학전공,특수연구,0.02 : 1,쿼터없음,신청없음,0.02 : 1,쿼터없음
PHY4203-01,물리학전공,물리특허와기술이전,0.07 : 1,신청없음,0.03 : 1,0.05 : 1,쿼터없음
PHYG001-01,물리학전공,고전물리I,0.04 : 1,쿼터없음,신청없음,0.04 : 1,쿼터없음
POL2002-01,정치외교학전공,정치학개론,0.09 : 1,0.17 : 1,0.07 : 1,0.02 : 1,신청없음
POL2002-02,정치외교학전공,정치학개론,0.11 : 1,0.23 : 1,0.02 : 1,0.02 : 1,0.03 : 1
POL3061-01,정치외교학전공,한국정치사,0.03 : 1,0.02 : 1,신청없음,0.03 : 1,신청없음
POL3080-01,정치외교학전공,현대북한의정치,0.23 : 1,0.26 : 1,0.24 : 1,0.10 : 1,신청없음
POL3098-01,정치외교학전공,의회정치론,0.16 : 1,0.20 : 1,0.08 : 1,0.11 : 1,0.01 : 1
POL3100-01,정치외교학전공,정치사상의이해,0.16 : 1,0.06 : 1,0.18 : 1,0.08 : 1,신청없음
POL3108-01,정치외교학전공,근대정치사상,0.06 : 1,0.08 : 1,0.05 : 1,0.01 : 1,0.01 : 1
POL3109-01,정치외교학전공,현대정치사상,0.14 : 1,0.10 : 1,0.07 : 1,0.11 : 1,신청없음
POL3111-01,정치외교학전공,정보사회의정치,0.04 : 1,0.04 : 1,0.03 : 1,0.01 : 1,신청없음
POL3130-01,정치외교학전공,국제정치론,0.30 : 1,0.32 : 1,0.26 : 1,0.19 : 1,신청없음
POL3141-01,정치외교학전공,현대국제기구의이해,0.68 : 1,0.80 : 1,0.33 : 1,0.35 : 1,쿼터없음
POL3156-01,정치외교학전공,세계외교사,0.36 : 1,0.44 : 1,0.24 : 1,0.28 : 1,신청없음
POL3162-01,정치외교학전공,미국정치의이해,0.61 : 1,0.82 : 1,0.54 : 1,0.61 : 1,0.01 : 1
POL3165-01,정치외교학전공,중국정치의이해,0.20 : 1,0.24 : 1,0.10 : 1,0.12 : 1,0.01 : 1
POL3168-01,정치외교학전공,특수지역연구,0.01 : 1,신청없음,신청없음,0.01 : 1,신청없음
POL3172-01,정치외교학전공,동아시아지역협력과갈등,0.16 : 1,0.16 : 1,0.09 : 1,0.11 : 1,신청없음
POL3173-01,정치외교학전공,동남아정치의이해,0.06 : 1,0.04 : 1,0.03 : 1,0.04 : 1,신청없음
POL3187-01,일본문화전공,일본정치특강,0.14 : 1,0.10 : 1,0.12 : 1,0.08 : 1,0.01 : 1
POL4083-01,정치외교학전공,북한정치특강,0.21 : 1,0.16 : 1,0.16 : 1,0.13 : 1,0.01 : 1
POL4096-01,정치외교학전공,정치와언론,0.03 : 1,0.06 : 1,0.01 : 1,0.01 : 1,신청없음
POL4147-01,정치외교학전공,국제관계특강,0.05 : 1,신청없음,0.05 : 1,0.03 : 1,신청없음
POL4169-01,정치외교학전공,비교정치특강,0.02 : 1,신청없음,0.01 : 1,0.01 : 1,신청없음
POL4170-01,정치외교학전공,유럽정치특강,0.15 : 1,0.20 : 1,0.10 : 1,0.08 : 1,신청없음
PSY2001-01,심리학전공,일반심리학,1.46 : 1,2.15 : 1,1.85 : 1,1.25 : 1,0.30 : 1
PSY2002-01,심리학전공,심리통계,0.94 : 1,1.80 : 1,0.83 : 1,0.89 : 1,0.07 : 1
PSY2004-01,심리학전공,인지심리학,1.90 : 1,2.33 : 1,3.00 : 1,2.70 : 1,0.20 : 1
PSY3005-01,심리학전공,적응심리학,0.56 : 1,0.58 : 1,0.53 : 1,0.50 : 1,0.05 : 1
PSY3010-01,심리학전공,인사심리학,0.52 : 1,0.20 : 1,0.42 : 1,0.29 : 1,쿼터없음
PSY3012-01,심리학전공,생리및생물심리학,0.72 : 1,0.73 : 1,0.63 : 1,0.86 : 1,0.06 : 1
PSY3022-01,심리학전공,다문화심리학,0.29 : 1,0.32 : 1,0.25 : 1,0.18 : 1,신청없음
PSY4001-01,심리학전공,이상심리학,1.78 : 1,1.47 : 1,2.33 : 1,1.55 : 1,쿼터없음
PSY4005-01,심리학전공,집단상담,1.33 : 1,0.50 : 1,0.73 : 1,1.71 : 1,쿼터없음
PSY4007-01,심리학전공,진로상담,0.38 : 1,0.20 : 1,0.04 : 1,0.42 : 1,신청없음
PSY4009-01,심리학전공,집단행동의심리학,1.07 : 1,0.93 : 1,1.69 : 1,1.47 : 1,0.07 : 1
PSY4012-01,심리학전공,광고및소비자심리학,1.37 : 1,1.67 : 1,1.80 : 1,2.00 : 1,신청없음
PSY4014-01,심리학전공,유아및아동심리학,1.63 : 1,3.07 : 1,1.75 : 1,1.12 : 1,0.50 : 1
PSY4024-01,심리학전공,창의성의심리학,0.37 : 1,0.15 : 1,0.14 : 1,0.27 : 1,쿼터없음
PSY4032-01,심리학전공,상담면접기법,1.23 : 1,0.50 : 1,0.87 : 1,1.58 : 1,쿼터없음
PSY4038-01,심리학전공,사회심리학세미나,0.75 : 1,쿼터없음,0.30 : 1,0.59 : 1,쿼터없음
PSY4042-01,심리학전공,직업심리학,2.00 : 1,1.63 : 1,2.38 : 1,3.50 : 1,신청없음
PUB2001-01,공공인재 연계전공,법과정의,2.35 : 1,0.80 : 1,2.00 : 1,6.20 : 1,신청없음
PUB2004-01,공공인재 연계전공,법적사고와논리,0.28 : 1,0.10 : 1,0.29 : 1,0.17 : 1,0.02 : 1
PUB2005-01,공공인재 연계전공,법과현대사회,0.28 : 1,0.15 : 1,0.14 : 1,0.25 : 1,0.02 : 1
PUB3002-01,공공인재 연계전공,국가와통치구조에대한이해,0.10 : 1,0.01 : 1,0.06 : 1,0.08 : 1,신청없음
PUB3003-01,공공인재 연계전공,법치행정의이해,0.07 : 1,0.03 : 1,0.06 : 1,0.04 : 1,신청없음
PUB3009-01,공공인재 연계전공,형사절차의이해Ⅰ,1.30 : 1,0.60 : 1,0.58 : 1,1.60 : 1,쿼터없음
PUB3011-01,공공인재 연계전공,보험과법,0.04 : 1,신청없음,0.03 : 1,0.04 : 1,신청없음
PUB3014-01,공공인재 연계전공,계약과법,0.10 : 1,0.03 : 1,0.08 : 1,0.07 : 1,신청없음
PUB3018-01,공공인재 연계전공,미국사회와법,0.23 : 1,0.24 : 1,0.15 : 1,0.17 : 1,신청없음
REL2001-01,종교학전공,종교의이해,0.02 : 1,0.03 : 1,신청없음,0.02 : 1,신청없음
REL2002-01,종교학전공,세계종교입문,0.10 : 1,0.05 : 1,0.09 : 1,0.06 : 1,신청없음
REL3005-01,종교학전공,일본종교의이해,0.02 : 1,신청없음,0.01 : 1,0.02 : 1,신청없음
REL3009-01,종교학전공,도교의중심사상,0.14 : 1,0.33 : 1,0.01 : 1,0.08 : 1,신청없음
REL3013-01,종교학전공,한국그리스도교의이해,0.12 : 1,0.25 : 1,0.06 : 1,0.05 : 1,신청없음
REL3019-01,종교학전공,힌두교강독,0.06 : 1,0.08 : 1,0.03 : 1,0.03 : 1,신청없음
REL3023-01,종교학전공,신화의이해,0.04 : 1,신청없음,0.03 : 1,0.03 : 1,0.01 : 1
REL3043-01,종교학전공,수양과명상,0.09 : 1,0.05 : 1,0.08 : 1,0.05 : 1,신청없음
REL3044-01,종교학전공,그리스도교영성,0.03 : 1,신청없음,0.05 : 1,신청없음,신청없음
ROT4002-01,교양학부,안전및조직관리사례연구,0.16 : 1,쿼터없음,0.16 : 1,쿼터없음,쿼터없음
SHS2001-01,교양학부,현대사회의이해,0.97 : 1,1.80 : 1,0.75 : 1,0.80 : 1,0.23 : 1
SHS2001-02,교양학부,현대사회의이해,0.09 : 1,0.20 : 1,0.02 : 1,0.03 : 1,신청없음
SHS2002-01,교양학부,한국과세계,0.40 : 1,0.80 : 1,0.17 : 1,0.20 : 1,0.08 : 1
SHS2002-02,교양학부,한국과세계,0.53 : 1,1.04 : 1,0.40 : 1,0.20 : 1,0.16 : 1
SHS2002-03,교양학부,한국과세계,0.64 : 1,1.52 : 1,0.68 : 1,0.18 : 1,0.06 : 1
SHS2002-04,교양학부,한국과세계,0.43 : 1,0.88 : 1,0.36 : 1,0.14 : 1,0.08 : 1
SHS2002-05,교양학부,한국과세계,0.45 : 1,0.25 : 1,쿼터없음,쿼터없음,0.65 : 1
SHS2002-06,교양학부,한국과세계,0.33 : 1,0.40 : 1,쿼터없음,쿼터없음,0.10 : 1
SHS2002-07,교양학부,한국과세계,0.34 : 1,0.03 : 1,0.07 : 1,0.26 : 1,쿼터없음
SHS2005-01,교양학부,법과지식산업,0.38 : 1,0.60 : 1,0.39 : 1,0.26 : 1,0.07 : 1
SHS2005-02,교양학부,법과지식산업,0.37 : 1,0.90 : 1,0.27 : 1,0.31 : 1,0.02 : 1
SHS2005-03,교양학부,법과지식산업,0.30 : 1,0.60 : 1,0.07 : 1,0.25 : 1,0.06 : 1
SHS2005-05,교양학부,법과지식산업,0.24 : 1,0.35 : 1,0.21 : 1,0.19 : 1,0.01 : 1
SHS2007-01,교양학부,생활속의심리학,0.24 : 1,0.30 : 1,0.21 : 1,0.06 : 1,0.05 : 1
SHS2007-02,교양학부,생활속의심리학,0.31 : 1,0.30 : 1,0.28 : 1,0.16 : 1,0.06 : 1
SHS2007-03,교양학부,생활속의심리학,0.99 : 1,1.80 : 1,0.93 : 1,1.55 : 1,0.08 : 1
SHS2007-04,교양학부,생활속의심리학,1.05 : 1,1.80 : 1,0.90 : 1,1.09 : 1,0.30 : 1
SHU4001-01,교양학부,북한의이해와통일후한국,0.11 : 1,0.04 : 1,0.07 : 1,0.09 : 1,신청없음
SHU4003-01,교양학부,시민참여와시민교육,0.05 : 1,신청없음,0.03 : 1,0.05 : 1,신청없음
SHU4010-01,교양학부,동남아시아전통사회의이해,0.18 : 1,0.05 : 1,0.08 : 1,0.15 : 1,신청없음
SHU4019-01,교양학부,삶과교육,0.30 : 1,0.07 : 1,0.14 : 1,0.33 : 1,신청없음
SHU4024-01,교양학부,결혼준비특강,1.65 : 1,1.50 : 1,0.95 : 1,2.33 : 1,쿼터없음
SHU4028-01,교양학부,인문지리,1.32 : 1,1.13 : 1,1.13 : 1,3.20 : 1,신청없음
SHU4029-01,교양학부,광고로사회읽기,0.55 : 1,0.20 : 1,0.32 : 1,0.70 : 1,신청없음
SHU4031-01,교양학부,인권과교육,0.24 : 1,0.05 : 1,0.08 : 1,0.28 : 1,신청없음
SHU4052-01,교양학부,세계대전의이해,0.24 : 1,0.16 : 1,0.17 : 1,0.17 : 1,0.01 : 1
SHU4054-01,교양학부,인간관계의심리와대인관계기술,1.25 : 1,1.15 : 1,0.80 : 1,1.46 : 1,쿼터없음
SHU4063-01,교양학부,4차산업혁명과기업가정신,1.92 : 1,1.57 : 1,2.00 : 1,4.92 : 1,0.06 : 1
SHU4068-01,교양학부,한중정치사회의이해(중국어),1.55 : 1,2.50 : 1,1.33 : 1,1.07 : 1,쿼터없음
SHU4068-02,교양학부,한중정치사회의이해(중국어),1.43 : 1,2.40 : 1,1.33 : 1,0.87 : 1,쿼터없음
SHU4068-03,교양학부,한중정치사회의이해(중국어),0.80 : 1,1.60 : 1,0.40 : 1,0.42 : 1,쿼터없음
SOC2001-01,사회학전공,사회학개론,0.53 : 1,0.87 : 1,0.47 : 1,0.42 : 1,0.02 : 1
SOC2001-02,사회학전공,사회학개론,0.03 : 1,0.03 : 1,0.03 : 1,신청없음,0.01 : 1
SOC2001-03,사회학전공,사회학개론,0.12 : 1,0.23 : 1,0.02 : 1,0.04 : 1,0.03 : 1
SOC2003-01,사회학전공,사회조사방법론,0.18 : 1,0.03 : 1,0.17 : 1,0.14 : 1,신청없음
SOC2005-01,사회학전공,사회학방법론,0.04 : 1,0.13 : 1,신청없음,0.01 : 1,신청없음
SOC2006-01,사회학전공,사회학사,0.21 : 1,0.40 : 1,0.13 : 1,0.10 : 1,신청없음
SOC3004-01,사회학전공,현대조직과리더십,0.18 : 1,0.17 : 1,0.13 : 1,0.12 : 1,신청없음
SOC3008-01,사회학전공,집단행동과사회운동,0.14 : 1,0.10 : 1,0.14 : 1,0.08 : 1,신청없음
SOC3012-01,사회학전공,성과사회,0.06 : 1,신청없음,0.02 : 1,0.07 : 1,신청없음
SOC3030-01,사회학전공,"지식,문화,권력",0.20 : 1,0.20 : 1,0.26 : 1,0.06 : 1,신청없음
SOC3033-01,사회학전공,이미지와상상력의사회학,0.12 : 1,0.17 : 1,0.11 : 1,0.04 : 1,신청없음
SOC3040-01,사회학전공,"다문화,시민,국가",0.10 : 1,신청없음,0.05 : 1,0.10 : 1,신청없음
SOC3044-01,사회학전공,사회문제연구,0.38 : 1,0.47 : 1,0.39 : 1,0.22 : 1,신청없음
SOC3045-01,사회학전공,시대진단의사회학,0.48 : 1,0.60 : 1,0.60 : 1,0.32 : 1,신청없음
SOC4001-01,사회학전공,졸업논문,0.03 : 1,쿼터없음,신청없음,0.03 : 1,쿼터없음
SPM3005-01,스포츠미디어 연계전공,레크리에이션의이론과실제,0.23 : 1,0.10 : 1,0.05 : 1,0.25 : 1,신청없음
SPM3008-01,스포츠미디어 연계전공,스포츠커뮤니케이션,0.07 : 1,신청없음,0.03 : 1,0.07 : 1,신청없음
SPM3011-01,스포츠미디어 연계전공,스포츠생리학,0.50 : 1,1.07 : 1,0.40 : 1,0.34 : 1,신청없음
SPM3014-01,스포츠미디어 연계전공,스포츠소비자행동론,0.27 : 1,0.67 : 1,0.24 : 1,0.08 : 1,신청없음
SPM3101-01,스포츠미디어 연계전공,스쿠바다이빙,0.23 : 1,신청없음,0.07 : 1,0.27 : 1,신청없음
SPM3104-01,스포츠미디어 연계전공,필드골프I,0.37 : 1,신청없음,0.06 : 1,0.46 : 1,신청없음
SPM3106-01,스포츠미디어 연계전공,체력트레이닝,1.69 : 1,1.44 : 1,1.67 : 1,3.33 : 1,0.13 : 1
SPM3108-01,스포츠미디어 연계전공,호신술I,0.11 : 1,신청없음,신청없음,0.15 : 1,신청없음
SPM3110-01,스포츠미디어 연계전공,라켓볼,1.23 : 1,신청없음,0.39 : 1,1.80 : 1,신청없음
SPM3113-01,스포츠미디어 연계전공,댄스스포츠I,0.69 : 1,신청없음,0.17 : 1,0.88 : 1,신청없음
SPM3114-01,스포츠미디어 연계전공,댄스스포츠II,0.49 : 1,0.11 : 1,0.12 : 1,0.58 : 1,신청없음
SPM3119-01,스포츠미디어 연계전공,파워요가,0.34 : 1,0.11 : 1,0.06 : 1,0.40 : 1,신청없음
SPM3120-01,스포츠미디어 연계전공,댄스피트니스,0.46 : 1,0.11 : 1,0.06 : 1,0.56 : 1,신청없음
STS2001-01,교양학부,자연과인간,1.56 : 1,2.30 : 1,2.30 : 1,4.20 : 1,0.35 : 1
STS2002-01,교양학부,생명과환경,0.34 : 1,0.70 : 1,0.09 : 1,0.20 : 1,0.12 : 1
STS2002-02,교양학부,생명과환경,1.47 : 1,3.30 : 1,4.00 : 1,1.60 : 1,0.23 : 1
STS2002-03,교양학부,생명과환경,0.67 : 1,1.50 : 1,1.20 : 1,1.40 : 1,0.10 : 1
STS2002-04,교양학부,생명과환경,0.06 : 1,0.20 : 1,신청없음,신청없음,신청없음
STS2004-01,교양학부,대학수학,1.07 : 1,6.80 : 1,4.33 : 1,3.50 : 1,0.20 : 1
STS2004-02,교양학부,대학수학,0.98 : 1,8.20 : 1,1.67 : 1,3.00 : 1,0.14 : 1
STS2004-03,교양학부,대학수학,0.08 : 1,0.20 : 1,0.29 : 1,0.29 : 1,신청없음
STS2004-04,교양학부,대학수학,0.33 : 1,2.40 : 1,1.33 : 1,2.00 : 1,신청없음
STS2004-05,교양학부,대학수학,0.52 : 1,3.80 : 1,1.33 : 1,2.50 : 1,0.06 : 1
STS2004-06,교양학부,대학수학,0.17 : 1,1.40 : 1,1.00 : 1,신청없음,신청없음
STS2004-07,교양학부,대학수학,0.02 : 1,0.20 : 1,신청없음,신청없음,신청없음
STS2004-08,교양학부,대학수학,0.65 : 1,2.40 : 1,4.67 : 1,3.50 : 1,0.12 : 1
STS2004-09,교양학부,대학수학,0.28 : 1,1.00 : 1,2.00 : 1,2.50 : 1,0.02 : 1
STS2005-01,교양학부,미적분학I,0.03 : 1,0.33 : 1,0.33 : 1,신청없음,신청없음
STS2005-02,교양학부,미적분학I,0.27 : 1,1.20 : 1,0.67 : 1,2.00 : 1,0.04 : 1
STS2005-03,교양학부,미적분학I,0.13 : 1,0.80 : 1,0.50 : 1,신청없음,0.04 : 1
STS2005-04,교양학부,미적분학I,0.05 : 1,0.20 : 1,신청없음,0.11 : 1,0.02 : 1
STS2005-05,교양학부,미적분학I,0.12 : 1,1.00 : 1,신청없음,0.20 : 1,0.02 : 1
STS2005-06,교양학부,미적분학I,0.08 : 1,0.20 : 1,0.29 : 1,0.29 : 1,신청없음
STS2005-07,교양학부,미적분학I,0.48 : 1,4.00 : 1,1.67 : 1,0.50 : 1,0.06 : 1
STS2005-08,교양학부,미적분학I,0.73 : 1,4.40 : 1,3.00 : 1,2.50 : 1,0.16 : 1
STS2005-09,교양학부,미적분학I,0.73 : 1,5.40 : 1,2.67 : 1,3.50 : 1,0.04 : 1
