과목코드+분반코드,개설전공,과목명,전체,2학년,3학년,4학년,1학년
GKS3031-01,국제한국학전공,Korean Language&History-Advanced,0.43 : 1,0.13 : 1,0.16 : 1,0.37 : 1,신청없음
GKSG002-01,국제한국학전공,Digital Arts and Scholarly Craft in Kore,0.05 : 1,신청없음,신청없음,0.05 : 1,쿼터없음
GKSG004-01,국제한국학전공,Research in Korean Studies : Labour and,0.35 : 1,신청없음,0.50 : 1,0.13 : 1,쿼터없음
GKSG005-01,국제한국학전공,Historical Social Science and Korean Stu,0.17 : 1,신청없음,0.05 : 1,0.14 : 1,쿼터없음
GKSG008-01,글로벌한국학전공,Programming for Applied Deep Learning,0.30 : 1,신청없음,0.30 : 1,0.18 : 1,쿼터없음
HFS2001-01,교양학부,철학적인간학,2.01 : 1,2.06 : 1,2.00 : 1,1.40 : 1,쿼터없음
HFS2001-02,교양학부,철학적인간학,1.27 : 1,1.48 : 1,0.90 : 1,0.55 : 1,쿼터없음
HFS2001-03,교양학부,철학적인간학,0.99 : 1,1.10 : 1,0.50 : 1,0.60 : 1,쿼터없음
HFS2001-04,교양학부,철학적인간학,0.60 : 1,0.62 : 1,0.31 : 1,0.07 : 1,쿼터없음
HFS2001-05,교양학부,철학적인간학,0.17 : 1,0.10 : 1,0.04 : 1,0.08 : 1,쿼터없음
HFS2001-06,교양학부,철학적인간학,0.36 : 1,0.24 : 1,0.17 : 1,0.10 : 1,쿼터없음
HFS2002-01,교양학부,신학적인간학,0.71 : 1,0.74 : 1,0.35 : 1,0.20 : 1,쿼터없음
HFS2002-02,교양학부,신학적인간학,0.57 : 1,0.50 : 1,0.20 : 1,0.16 : 1,쿼터없음
HFS2002-03,교양학부,신학적인간학,1.13 : 1,1.14 : 1,1.50 : 1,0.70 : 1,쿼터없음
HFS2002-04,교양학부,신학적인간학,2.06 : 1,2.10 : 1,2.30 : 1,1.40 : 1,쿼터없음
HFS2002-05,교양학부,신학적인간학,0.07 : 1,0.02 : 1,0.03 : 1,0.03 : 1,쿼터없음
HFS2003-01,교양학부,그리스도교윤리,0.30 : 1,0.28 : 1,0.11 : 1,0.04 : 1,쿼터없음
HFS2003-02,교양학부,그리스도교윤리,0.69 : 1,0.80 : 1,0.30 : 1,0.08 : 1,쿼터없음
HFS2003-03,교양학부,그리스도교윤리,0.83 : 1,0.90 : 1,0.47 : 1,0.33 : 1,쿼터없음
HFS2003-04,교양학부,그리스도교윤리,0.64 : 1,0.62 : 1,0.28 : 1,0.16 : 1,쿼터없음
HFS2003-05,교양학부,그리스도교윤리,3.34 : 1,3.60 : 1,3.00 : 1,2.40 : 1,쿼터없음
HFU4009-01,교양학부,영성과문화예술,1.00 : 1,2.10 : 1,1.05 : 1,0.93 : 1,신청없음
HFU4012-01,교양학부,그리스도교신앙과영성,0.16 : 1,0.23 : 1,0.07 : 1,0.02 : 1,쿼터없음
HFU4014-01,교양학부,영성수련,0.88 : 1,0.31 : 1,0.64 : 1,0.77 : 1,쿼터없음
HFU4023-01,교양학부,진·선·미·성,1.70 : 1,2.06 : 1,0.80 : 1,0.50 : 1,쿼터없음
HIS2003-01,사학전공,한국사개론Ⅰ,0.27 : 1,0.90 : 1,0.05 : 1,0.15 : 1,0.03 : 1
HIS2004-01,사학전공,동아시아사개론Ⅰ,0.18 : 1,0.40 : 1,0.19 : 1,신청없음,신청없음
HIS2005-01,사학전공,서양사개론Ⅰ,0.76 : 1,2.50 : 1,0.60 : 1,0.50 : 1,신청없음
HIS2006-01,사학전공,역사학입문,0.26 : 1,0.75 : 1,0.28 : 1,0.08 : 1,0.01 : 1
HIS3001-01,사학전공,한국고대사,0.11 : 1,0.20 : 1,0.06 : 1,0.02 : 1,0.02 : 1
HIS3007-01,사학전공,중국중세사,0.49 : 1,0.40 : 1,0.25 : 1,0.41 : 1,신청없음
HIS3025-01,사학전공,프랑스혁명과나폴레옹시대사,0.20 : 1,0.30 : 1,0.12 : 1,0.06 : 1,0.02 : 1
HIS3026-01,사학전공,민족주의와제국주의시대사,0.29 : 1,0.60 : 1,0.25 : 1,0.02 : 1,신청없음
HIS3028-01,사학전공,서양현대사,0.13 : 1,0.05 : 1,0.08 : 1,0.11 : 1,신청없음
HIS3035-01,사학전공,동유럽의역사와문화,0.27 : 1,0.50 : 1,0.17 : 1,0.09 : 1,신청없음
HIS3043-01,사학전공,한국사회경제사,0.17 : 1,0.05 : 1,0.21 : 1,0.06 : 1,신청없음
HIS3046-01,사학전공,한중교섭사,0.03 : 1,신청없음,0.05 : 1,신청없음,신청없음
HIS3047-01,사학전공,한일관계사,0.04 : 1,신청없음,0.03 : 1,0.03 : 1,신청없음
HIS3049-01,사학전공,한국독립운동사,0.28 : 1,0.55 : 1,0.28 : 1,0.02 : 1,0.03 : 1
HIS3072-01,사학전공,문화유산현장실습3,0.28 : 1,0.45 : 1,0.23 : 1,0.20 : 1,신청없음
HIS4009-01,사학전공,동양사특강2,0.01 : 1,신청없음,0.03 : 1,신청없음,신청없음
HIS4010-01,사학전공,동양사강독1,0.30 : 1,0.10 : 1,0.26 : 1,0.25 : 1,신청없음
HIS4017-01,사학전공,서양사명저해제1,0.15 : 1,신청없음,0.15 : 1,0.11 : 1,신청없음
HISQ982-01,사학전공,역사교과논리및논술,0.25 : 1,신청없음,0.20 : 1,0.23 : 1,신청없음
HLU4003-01,교양학부,운동과건강,0.27 : 1,0.27 : 1,0.16 : 1,0.22 : 1,신청없음
HLU4006-01,교양학부,요가,0.77 : 1,0.22 : 1,0.25 : 1,1.00 : 1,신청없음
HLU4007-01,교양학부,테니스,1.60 : 1,2.00 : 1,1.44 : 1,2.78 : 1,신청없음
HLU4007-02,교양학부,테니스,1.00 : 1,0.33 : 1,0.47 : 1,1.47 : 1,신청없음
HLU4008-01,교양학부,탁구,1.31 : 1,0.89 : 1,0.50 : 1,2.36 : 1,신청없음
HLU4009-01,교양학부,배드민턴,0.83 : 1,0.67 : 1,0.25 : 1,1.11 : 1,신청없음
HLU4011-01,교양학부,농구,0.66 : 1,0.78 : 1,0.09 : 1,0.79 : 1,신청없음
HLU4013-01,교양학부,축구,1.03 : 1,0.78 : 1,0.82 : 1,1.82 : 1,신청없음
HLU4014-01,교양학부,야구,1.23 : 1,0.89 : 1,1.00 : 1,2.67 : 1,0.13 : 1
HLU4015-01,교양학부,골프,1.66 : 1,1.89 : 1,2.00 : 1,2.56 : 1,신청없음
HLU4015-02,교양학부,골프,0.11 : 1,신청없음,0.11 : 1,0.08 : 1,신청없음
HLU4101-01,교양학부,수영II,0.63 : 1,0.14 : 1,0.36 : 1,0.71 : 1,0.08 : 1
HLU4102-01,교양학부,테니스II,0.23 : 1,0.11 : 1,신청없음,0.27 : 1,신청없음
HSS3002-01,교양학부,사회봉사,1.76 : 1,1.60 : 1,2.80 : 1,6.80 : 1,0.10 : 1
HSS3002-02,교양학부,사회봉사,1.42 : 1,1.67 : 1,1.50 : 1,5.00 : 1,0.30 : 1
HSS3002-05,교양학부,사회봉사,0.10 : 1,0.13 : 1,0.03 : 1,0.02 : 1,쿼터없음
HSS3004-01,교양학부,특수교육과장애의이해,0.85 : 1,0.50 : 1,0.93 : 1,1.36 : 1,신청없음
HSS3005-01,교양학부,수화의이해,1.80 : 1,2.45 : 1,1.27 : 1,3.00 : 1,0.15 : 1
HSS3012-01,교양학부,동서고전세미나,0.53 : 1,0.75 : 1,0.48 : 1,0.42 : 1,0.03 : 1
HSS3012-02,교양학부,동서고전세미나,0.69 : 1,0.43 : 1,0.68 : 1,2.25 : 1,신청없음
HSS3012-03,교양학부,동서고전세미나,0.34 : 1,1.10 : 1,0.60 : 1,0.71 : 1,신청없음
HSS3012-04,교양학부,동서고전세미나,0.34 : 1,1.00 : 1,0.30 : 1,0.14 : 1,0.02 : 1
HSS3016-01,교양학부,진로탐색입문,0.37 : 1,0.36 : 1,쿼터없음,쿼터없음,쿼터없음
HSS3016-02,교양학부,진로탐색입문,0.73 : 1,0.66 : 1,쿼터없음,쿼터없음,쿼터없음
HSS3017-01,교양학부,학습매니지먼트,2.27 : 1,3.80 : 1,5.20 : 1,신청없음,0.27 : 1
HSS3019-01,교양학부,세계를간다,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
HSS3025-01,교양학부,진로탐색심화,1.33 : 1,2.75 : 1,1.00 : 1,쿼터없음,쿼터없음
HSS3027-01,교양학부,공존의시대와세계시민교육,0.93 : 1,0.40 : 1,0.88 : 1,0.83 : 1,쿼터없음
JAS3001-01,신문방송학전공,저널리즘개론,0.94 : 1,0.55 : 1,0.97 : 1,0.76 : 1,쿼터없음
JAS3007-01,신문방송학전공,광고4.0,0.85 : 1,1.00 : 1,0.80 : 1,0.79 : 1,신청없음
JAS3010-01,신문방송학전공,헬스커뮤니케이션과디지털미디어,0.29 : 1,0.15 : 1,0.30 : 1,0.15 : 1,0.03 : 1
JAS3012-01,신문방송학전공,텔레비전론,1.05 : 1,0.84 : 1,1.14 : 1,1.00 : 1,쿼터없음
JAS3014-01,신문방송학전공,창의적말하기와글쓰기,1.25 : 1,신청없음,0.90 : 1,1.77 : 1,쿼터없음
JAS3015-01,신문방송학전공,광고와디자인기획,0.29 : 1,0.15 : 1,0.30 : 1,0.20 : 1,신청없음
JAS4003-01,신문방송학전공,미디어문화사,1.23 : 1,0.35 : 1,1.24 : 1,1.30 : 1,쿼터없음
JAS4007-01,신문방송학전공,미디어와위기커뮤니케이션,1.40 : 1,0.30 : 1,1.05 : 1,2.00 : 1,쿼터없음
JAS4014-01,신문방송학전공,데이터마이닝,0.37 : 1,신청없음,0.25 : 1,0.25 : 1,신청없음
JAS4017-01,신문방송학전공,전략커뮤니케이션기획실습,0.48 : 1,신청없음,0.60 : 1,0.19 : 1,쿼터없음
JAS4024-01,신문방송학전공,매스컴연구,2.40 : 1,0.53 : 1,2.18 : 1,4.00 : 1,쿼터없음
JAS4032-01,신문방송학전공,소셜미디어와글로벌소비자행동,0.38 : 1,0.05 : 1,0.23 : 1,0.28 : 1,신청없음
JPN2002-01,일본문화전공,중급일본어II,0.29 : 1,신청없음,0.20 : 1,0.29 : 1,신청없음
JPN2005-01,일본문화전공,일본어작문,0.23 : 1,0.30 : 1,0.12 : 1,0.12 : 1,신청없음
JPN2007-01,일본문화전공,시사일본어,0.37 : 1,0.10 : 1,0.32 : 1,0.26 : 1,신청없음
JPN2008-01,일본문화전공,일본문학의이해,0.10 : 1,신청없음,신청없음,0.13 : 1,신청없음
JPN2010-01,일본문화전공,일본학개론,0.29 : 1,신청없음,0.20 : 1,0.23 : 1,신청없음
JPN2012-01,일본문화전공,영화를통한일본이해,0.51 : 1,0.50 : 1,0.37 : 1,0.38 : 1,신청없음
JPN3002-01,일본문화전공,일본의법과사회,0.47 : 1,0.40 : 1,0.42 : 1,0.34 : 1,신청없음
JPN3010-01,일본문화전공,일본현지체험학습,0.03 : 1,신청없음,0.03 : 1,0.02 : 1,신청없음
KCS1001-01,교양학부,한국문화의이해와체험,0.06 : 1,쿼터없음,쿼터없음,쿼터없음,0.04 : 1
KCS1001-02,교양학부,한국문화의이해와체험,0.04 : 1,쿼터없음,쿼터없음,쿼터없음,0.04 : 1
KCS1001-03,교양학부,한국문화의이해와체험,0.04 : 1,쿼터없음,쿼터없음,쿼터없음,신청없음
