과목코드-분반,과목명,2016_1_1학년,2016_1_2학년,2016_1_3학년,2016_1_4학년,2016_2_1학년,2016_2_2학년,2016_2_3학년,2016_2_4학년,2017_1_1학년,2017_1_2학년,2017_1_3학년,2017_1_4학년,2017_2_1학년,2017_2_2학년,2017_2_3학년,2017_2_4학년,2018_1_1학년,2018_1_2학년,2018_1_3학년,2018_1_4학년,2018_2_1학년,2018_2_2학년,2018_2_3학년,2018_2_4학년,2019_1_1학년,2019_1_2학년,2019_1_3학년,2019_1_4학년,2019_2_1학년,2019_2_2학년,2019_2_3학년,2019_2_4학년,2020_1_1학년,2020_1_2학년,2020_1_3학년,2020_1_4학년,2020_2_1학년,2020_2_2학년,2020_2_3학년,2020_2_4학년,2021_1_1학년,2021_1_2학년,2021_1_3학년,2021_1_4학년
COR1003-20,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.38,1 : 4.00,1 : 0.67,신청없음,1 : 2.06,1 : 3.00,1 : 0.33,1 : 0.25,신청없음,1.00 : 1,신청없음,신청없음,0.50 : 1,0.08 : 1,0.08 : 1,신청없음,신청없음,0.50 : 1,신청없음,신청없음
COR1003-21,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.17,1 : 0.67,신청없음,신청없음,1 : 1.78,1 : 1.00,1 : 0.33,신청없음,0.09 : 1,1.00 : 1,2.00 : 1,0.50 : 1,0.30 : 1,0.25 : 1,신청없음,신청없음,0.04 : 1,0.50 : 1,1.00 : 1,신청없음
COR1003-22,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.35,1 : 2.33,1 : 0.67,1 : 0.33,1 : 0.78,신청없음,1 : 0.10,신청없음,신청없음,2.00 : 1,신청없음,신청없음,0.25 : 1,0.06 : 1,신청없음,신청없음,신청없음,0.50 : 1,0.50 : 1,신청없음
COR1003-23,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.33,신청없음,신청없음,신청없음,1 : 0.05,신청없음,신청없음,0.04 : 1,신청없음,0.50 : 1,신청없음,0.10 : 1,0.05 : 1,0.05 : 1,0.14 : 1,신청없음,0.50 : 1,0.50 : 1,신청없음
COR1003-24,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.59,1 : 1.67,신청없음,1 : 0.20,1 : 0.11,신청없음,신청없음,1 : 0.04,신청없음,2.00 : 1,1.00 : 1,신청없음,0.55 : 1,1.27 : 1,1.50 : 1,1.50 : 1,,,,
COR1003-25,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.35,1 : 2.67,신청없음,신청없음,1 : 0.22,1 : 0.12,1 : 0.06,신청없음,0.04 : 1,1.00 : 1,신청없음,신청없음,0.70 : 1,0.13 : 1,0.33 : 1,0.25 : 1,신청없음,신청없음,0.33 : 1,0.33 : 1
COR1003-26,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.08,신청없음,신청없음,1 : 0.13,1 : 1.00,1 : 1.33,신청없음,1 : 0.20,0.08 : 1,1.00 : 1,신청없음,신청없음,0.40 : 1,0.64 : 1,0.57 : 1,1.20 : 1,,,,
COR1003-27,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.05,1 : 1.00,신청없음,1 : 0.20,1 : 0.28,1 : 0.25,1 : 0.13,1 : 0.07,신청없음,2.00 : 1,1.00 : 1,0.50 : 1,,,,,,,,
COR1003-28,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.04,1 : 0.67,신청없음,신청없음,1 : 0.17,1 : 0.50,1 : 0.42,신청없음,0.08 : 1,2.00 : 1,2.00 : 1,신청없음,,,,,,,,
COR1003-29,영어글로벌의사소통I,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.04,1 : 0.33,신청없음,1 : 0.29,1 : 1.22,1 : 4.33,1 : 1.33,신청없음,0.12 : 1,2.00 : 1,신청없음,신청없음,,,,,신청없음,신청없음,0.33 : 1,신청없음
