과목코드-분반,과목명,2016_1_1학년,2016_1_2학년,2016_1_3학년,2016_1_4학년,2016_2_1학년,2016_2_2학년,2016_2_3학년,2016_2_4학년,2017_1_1학년,2017_1_2학년,2017_1_3학년,2017_1_4학년,2017_2_1학년,2017_2_2학년,2017_2_3학년,2017_2_4학년,2018_1_1학년,2018_1_2학년,2018_1_3학년,2018_1_4학년,2018_2_1학년,2018_2_2학년,2018_2_3학년,2018_2_4학년,2019_1_1학년,2019_1_2학년,2019_1_3학년,2019_1_4학년,2019_2_1학년,2019_2_2학년,2019_2_3학년,2019_2_4학년,2020_1_1학년,2020_1_2학년,2020_1_3학년,2020_1_4학년,2020_2_1학년,2020_2_2학년,2020_2_3학년,2020_2_4학년,2021_1_1학년,2021_1_2학년,2021_1_3학년,2021_1_4학년
CHM1052-02,일반화학실험II,,,,,1 : 0.75,쿼터없음,쿼터없음,신청없음,,,,,1 : 1.13,쿼터없음,쿼터없음,1 : 0.50,,,,,1 : 0.21,쿼터없음,쿼터없음,1 : 0.50,,,,,1 : 1.60,1 : 2.00,1 : 4.00,1 : 4.00,,,,,0.82 : 1,0.33 : 1,1.33 : 1,0.67 : 1,,,,
CHM1052-03,일반화학실험II,,,,,1 : 0.42,쿼터없음,쿼터없음,1 : 1.50,,,,,1 : 0.31,쿼터없음,쿼터없음,1 : 1.00,,,,,1 : 1.31,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.33,쿼터없음,쿼터없음,쿼터없음,,,,,0.27 : 1,0.11 : 1,신청없음,0.08 : 1,,,,
CHM1052-04,일반화학실험II,,,,,1 : 0.67,쿼터없음,쿼터없음,1 : 1.00,,,,,1 : 0.19,쿼터없음,쿼터없음,1 : 1.00,,,,,1 : 0.69,쿼터없음,쿼터없음,신청없음,,,,,1 : 0.40,1 : 0.20,1 : 0.33,신청없음,,,,,0.09 : 1,신청없음,0.08 : 1,신청없음,,,,
CHM1052-05,일반화학실험II,,,,,1 : 0.25,쿼터없음,쿼터없음,신청없음,,,,,1 : 0.44,쿼터없음,쿼터없음,1 : 1.00,,,,,1 : 0.88,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.44,쿼터없음,쿼터없음,쿼터없음,,,,,1.31 : 1,쿼터없음,쿼터없음,쿼터없음,,,,
CHM1052-06,일반화학실험II,,,,,1 : 0.33,쿼터없음,쿼터없음,신청없음,,,,,1 : 0.19,쿼터없음,쿼터없음,1 : 0.50,,,,,1 : 1.25,쿼터없음,쿼터없음,1 : 0.50,,,,,1 : 1.13,1 : 1.00,신청없음,1 : 0.50,,,,,0.82 : 1,0.33 : 1,신청없음,신청없음,,,,
CHM1052-07,일반화학실험II,,,,,1 : 0.94,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.50,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 1.07,쿼터없음,쿼터없음,1 : 0.50,,,,,1 : 0.87,1 : 0.33,1 : 0.33,1 : 0.33,,,,,0.69 : 1,쿼터없음,쿼터없음,쿼터없음,,,,
CHM1052-08,일반화학실험II,,,,,1 : 1.00,쿼터없음,쿼터없음,1 : 0.50,,,,,1 : 1.31,쿼터없음,쿼터없음,신청없음,,,,,1 : 0.43,쿼터없음,쿼터없음,신청없음,,,,,1 : 0.47,1 : 0.11,신청없음,신청없음,,,,,0.91 : 1,1.50 : 1,2.00 : 1,신청없음,,,,
CHM1052-09,일반화학실험II,,,,,1 : 1.25,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 1.06,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.86,쿼터없음,쿼터없음,신청없음,,,,,,,,,,,,,0.18 : 1,0.10 : 1,신청없음,신청없음,,,,
CHM1052-10,일반화학실험II,,,,,1 : 3.00,쿼터없음,쿼터없음,1 : 0.50,,,,,1 : 0.50,쿼터없음,쿼터없음,신청없음,,,,,1 : 0.14,쿼터없음,쿼터없음,신청없음,,,,,,,,,,,,,0.55 : 1,신청없음,신청없음,신청없음,,,,
CHM1052-11,일반화학실험II,,,,,1 : 0.42,쿼터없음,쿼터없음,1 : 0.50,,,,,1 : 1.63,쿼터없음,쿼터없음,신청없음,,,,,1 : 0.44,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.20,1 : 0.23,신청없음,신청없음,,,,,1.09 : 1,1.00 : 1,1.00 : 1,0.33 : 1,,,,
CHM1052-12,일반화학실험II,,,,,1 : 0.33,쿼터없음,쿼터없음,신청없음,,,,,1 : 0.94,쿼터없음,쿼터없음,1 : 0.50,,,,,1 : 1.56,쿼터없음,쿼터없음,1 : 0.50,,,,,1 : 0.60,1 : 0.14,1 : 0.14,신청없음,,,,,0.91 : 1,1.50 : 1,신청없음,0.25 : 1,,,,
CHM1052-13,일반화학실험II,,,,,1 : 0.31,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.38,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.06,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.50,쿼터없음,쿼터없음,쿼터없음,,,,,0.13 : 1,쿼터없음,쿼터없음,쿼터없음,,,,
CHM1052-14,일반화학실험II,,,,,1 : 1.50,쿼터없음,쿼터없음,신청없음,,,,,1 : 1.00,쿼터없음,쿼터없음,신청없음,,,,,1 : 0.88,쿼터없음,쿼터없음,1 : 0.50,,,,,1 : 0.67,1 : 0.50,신청없음,1 : 0.40,,,,,1.91 : 1,2.00 : 1,2.00 : 1,0.67 : 1,,,,
CHM1052-15,일반화학실험II,,,,,1 : 1.58,쿼터없음,쿼터없음,1 : 1.00,,,,,1 : 0.44,쿼터없음,쿼터없음,신청없음,,,,,1 : 0.21,쿼터없음,쿼터없음,1 : 0.50,,,,,신청없음,1 : 0.06,신청없음,신청없음,,,,,0.27 : 1,0.22 : 1,0.25 : 1,0.22 : 1,,,,
CHM1052-16,일반화학실험II,,,,,1 : 0.58,쿼터없음,쿼터없음,1 : 1.00,,,,,1 : 0.25,쿼터없음,쿼터없음,신청없음,,,,,1 : 0.79,쿼터없음,쿼터없음,1 : 1.50,,,,,1 : 0.53,1 : 0.25,신청없음,신청없음,,,,,0.27 : 1,신청없음,0.10 : 1,0.08 : 1,,,,
CHM1052-17,일반화학실험II,,,,,1 : 0.25,쿼터없음,쿼터없음,1 : 1.50,,,,,,,,,,,,,,,,,,,,,1 : 0.07,1 : 0.20,신청없음,1 : 0.07,,,,,,,,,,,,
CHM1052-18,일반화학실험II,,,,,1 : 0.67,쿼터없음,쿼터없음,1 : 0.50,,,,,,,,,,,,,,,,,,,,,1 : 0.20,신청없음,신청없음,1 : 0.07,,,,,,,,,,,,
CHM2102-01,기기분석,,,,,신청없음,1 : 0.03,1 : 0.12,1 : 0.03,,,,,신청없음,1 : 0.05,1 : 0.10,1 : 0.06,,,,,신청없음,1 : 0.05,1 : 0.32,1 : 0.11,,,,,신청없음,1 : 0.13,1 : 0.34,1 : 0.21,,,,,신청없음,0.20 : 1,0.18 : 1,0.15 : 1,,,,
CHM2152-01,기기분석실험,,,,,쿼터없음,쿼터없음,1 : 0.75,1 : 0.40,,,,,쿼터없음,쿼터없음,1 : 1.38,1 : 1.13,,,,,쿼터없음,쿼터없음,1 : 2.50,1 : 0.90,,,,,쿼터없음,쿼터없음,1 : 1.38,1 : 1.25,,,,,신청없음,1.50 : 1,7.00 : 1,1.21 : 1,,,,
CHM2152-02,기기분석실험,,,,,쿼터없음,쿼터없음,1 : 0.38,1 : 0.85,,,,,쿼터없음,쿼터없음,1 : 1.25,1 : 1.13,,,,,쿼터없음,쿼터없음,1 : 2.00,1 : 1.10,,,,,쿼터없음,쿼터없음,1 : 1.25,1 : 1.63,,,,,신청없음,신청없음,1.00 : 1,1.00 : 1,,,,
CHM2201-01,물리화학I,,,,,1 : 0.03,1 : 0.67,1 : 0.27,1 : 0.05,,,,,신청없음,1 : 0.49,1 : 0.15,신청없음,,,,,신청없음,1 : 0.25,1 : 0.16,신청없음,,,,,1 : 0.10,1 : 0.38,1 : 0.19,1 : 0.09,,,,,0.20 : 1,0.39 : 1,0.17 : 1,0.18 : 1,,,,
CHM2203-01,물리화학III,,,,,신청없음,1 : 0.03,1 : 0.03,1 : 0.02,,,,,신청없음,신청없음,1 : 0.04,신청없음,,,,,신청없음,신청없음,1 : 0.10,1 : 0.03,,,,,1 : 0.10,신청없음,1 : 0.29,1 : 0.09,,,,,신청없음,0.03 : 1,0.10 : 1,0.05 : 1,,,,
CHM2252-01,물리화학실험II,,,,,쿼터없음,쿼터없음,1 : 0.13,1 : 0.27,,,,,쿼터없음,쿼터없음,1 : 0.13,1 : 0.13,,,,,쿼터없음,쿼터없음,1 : 0.50,1 : 0.33,,,,,쿼터없음,쿼터없음,1 : 0.63,1 : 0.18,,,,,신청없음,신청없음,0.25 : 1,0.32 : 1,,,,
CHM2252-02,물리화학실험II,,,,,쿼터없음,쿼터없음,신청없음,1 : 0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHM2302-01,유기화학II,,,,,신청없음,1 : 0.19,1 : 0.10,신청없음,,,,,신청없음,1 : 0.18,1 : 0.10,1 : 0.02,,,,,쿼터없음,1 : 0.23,1 : 0.20,1 : 0.02,,,,,신청없음,1 : 0.11,1 : 0.10,1 : 0.04,,,,,신청없음,0.25 : 1,0.24 : 1,0.28 : 1,,,,
CHM2302-02,유기화학II,,,,,신청없음,1 : 0.23,1 : 0.09,1 : 0.02,,,,,신청없음,1 : 0.06,1 : 0.07,신청없음,,,,,쿼터없음,1 : 0.18,1 : 0.23,1 : 0.06,,,,,신청없음,1 : 0.06,1 : 0.05,1 : 0.02,,,,,신청없음,0.07 : 1,0.04 : 1,0.05 : 1,,,,
CHM2332-01,유기화학특론II,,,,,신청없음,신청없음,1 : 0.02,1 : 0.01,,,,,신청없음,신청없음,1 : 0.03,1 : 0.01,,,,,신청없음,신청없음,1 : 0.05,1 : 0.03,,,,,신청없음,신청없음,1 : 0.04,1 : 0.01,,,,,신청없음,신청없음,0.06 : 1,0.10 : 1,,,,
CHM2351-01,유기화학실험I,,,,,쿼터없음,1 : 0.86,쿼터없음,쿼터없음,,,,,쿼터없음,1 : 1.29,쿼터없음,신청없음,,,,,쿼터없음,1 : 0.58,쿼터없음,1 : 0.50,,,,,쿼터없음,1 : 0.50,쿼터없음,1 : 0.50,,,,,신청없음,0.45 : 1,0.43 : 1,0.20 : 1,,,,
CHM2351-02,유기화학실험I,,,,,쿼터없음,1 : 0.86,쿼터없음,쿼터없음,,,,,쿼터없음,1 : 0.36,쿼터없음,1 : 0.50,,,,,쿼터없음,1 : 1.25,쿼터없음,신청없음,,,,,쿼터없음,1 : 1.00,쿼터없음,신청없음,,,,,신청없음,1.27 : 1,2.00 : 1,1.00 : 1,,,,
CHM2351-03,유기화학실험I,,,,,쿼터없음,1 : 0.93,쿼터없음,쿼터없음,,,,,쿼터없음,1 : 0.93,쿼터없음,신청없음,,,,,쿼터없음,1 : 0.67,쿼터없음,1 : 1.00,,,,,쿼터없음,1 : 0.38,쿼터없음,신청없음,,,,,신청없음,0.73 : 1,1.25 : 1,3.00 : 1,,,,
CHM2351-04,유기화학실험I,,,,,쿼터없음,1 : 1.07,쿼터없음,쿼터없음,,,,,쿼터없음,1 : 0.21,쿼터없음,신청없음,,,,,쿼터없음,1 : 0.58,쿼터없음,신청없음,,,,,쿼터없음,1 : 0.25,쿼터없음,1 : 1.00,,,,,신청없음,0.18 : 1,0.10 : 1,신청없음,,,,
CHM2402-01,무기화학II,,,,,신청없음,신청없음,1 : 0.12,1 : 0.05,,,,,신청없음,신청없음,1 : 0.07,1 : 0.02,,,,,신청없음,신청없음,1 : 0.05,1 : 0.01,,,,,신청없음,신청없음,1 : 0.08,1 : 0.10,,,,,신청없음,신청없음,0.08 : 1,0.11 : 1,,,,
CHM2451-01,무기화학실험,,,,,쿼터없음,쿼터없음,1 : 0.80,1 : 1.25,,,,,쿼터없음,쿼터없음,1 : 0.79,1 : 1.00,,,,,쿼터없음,쿼터없음,1 : 2.50,1 : 0.88,,,,,쿼터없음,쿼터없음,1 : 1.70,1 : 1.40,,,,,신청없음,신청없음,0.40 : 1,0.42 : 1,,,,
CHM2451-02,무기화학실험,,,,,쿼터없음,쿼터없음,1 : 0.50,1 : 0.71,,,,,쿼터없음,쿼터없음,1 : 0.29,신청없음,,,,,쿼터없음,쿼터없음,1 : 0.50,1 : 0.27,,,,,쿼터없음,쿼터없음,1 : 0.70,1 : 0.23,,,,,신청없음,신청없음,1.00 : 1,0.33 : 1,,,,
CHM2451-03,무기화학실험,,,,,쿼터없음,쿼터없음,1 : 1.00,1 : 1.50,,,,,쿼터없음,쿼터없음,1 : 0.79,1 : 0.60,,,,,쿼터없음,쿼터없음,1 : 1.83,1 : 0.75,,,,,쿼터없음,쿼터없음,1 : 1.40,1 : 0.90,,,,,신청없음,신청없음,1.20 : 1,1.50 : 1,,,,
CHM2451-04,무기화학실험,,,,,쿼터없음,쿼터없음,1 : 0.40,1 : 0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,신청없음,0.25 : 1,신청없음,,,,
CHM2601-01,생화학I,,,,,신청없음,1 : 0.24,1 : 0.30,1 : 0.05,,,,,신청없음,1 : 0.10,1 : 0.15,1 : 0.05,,,,,신청없음,1 : 0.20,1 : 0.36,1 : 0.02,,,,,1 : 0.03,1 : 0.08,1 : 0.15,1 : 0.06,,,,,신청없음,0.45 : 1,0.44 : 1,0.15 : 1,,,,
CHM4052-01,창의적연구프로젝트설계,,,,,쿼터없음,쿼터없음,1 : 0.10,1 : 0.14,,,,,쿼터없음,쿼터없음,신청없음,1 : 0.07,,,,,쿼터없음,쿼터없음,1 : 0.05,1 : 0.03,,,,,쿼터없음,쿼터없음,1 : 0.05,1 : 0.10,,,,,쿼터없음,쿼터없음,신청없음,0.23 : 1,,,,
CHM4054-01,화학기기종합설계,,,,,쿼터없음,쿼터없음,1 : 0.20,1 : 0.11,,,,,쿼터없음,쿼터없음,1 : 0.25,1 : 0.07,,,,,쿼터없음,쿼터없음,1 : 0.80,1 : 0.42,,,,,쿼터없음,쿼터없음,1 : 0.20,1 : 0.26,,,,,,,,,,,,
CHMG101-01,고급분석화학,,,,,신청없음,신청없음,신청없음,1 : 0.02,,,,,,,,,,,,,,,,,신청없음,신청없음,신청없음,1 : 0.06,,,,,신청없음,신청없음,0.03 : 1,0.06 : 1,,,,,,,,
CHMG302-01,고급유기화학II,,,,,신청없음,신청없음,신청없음,1 : 0.01,,,,,쿼터없음,쿼터없음,1 : 0.05,1 : 0.08,,,,,신청없음,신청없음,1 : 0.04,1 : 0.03,,,,,신청없음,신청없음,1 : 0.03,1 : 0.06,,,,,신청없음,0.01 : 1,신청없음,0.04 : 1,,,,
CHU4005-01,인물로본중국사,,,,,1 : 0.80,1 : 0.38,1 : 0.17,1 : 0.27,,,,,1 : 0.30,1 : 0.47,1 : 0.24,1 : 0.20,,,,,1 : 0.70,1 : 0.54,1 : 0.31,1 : 0.19,,,,,1 : 0.35,1 : 0.27,1 : 0.30,1 : 0.45,,,,,2.90 : 1,3.15 : 1,2.65 : 1,4.50 : 1,,,,
CHU4007-01,인물로본서양사,,,,,1 : 0.10,1 : 0.08,1 : 0.11,1 : 0.04,1 : 0.02,1 : 0.60,1 : 0.29,1 : 0.20,1 : 0.35,1 : 0.12,1 : 0.14,1 : 0.08,신청없음,1 : 0.30,1 : 0.12,1 : 0.08,1 : 0.15,1 : 0.05,1 : 0.02,1 : 0.04,,,,,1 : 0.60,1 : 0.46,1 : 0.26,1 : 0.67,,,,,0.10 : 1,0.13 : 1,0.04 : 1,0.23 : 1,,,,
CHU4013-01,문학작품으로읽는한국사,,,,,1 : 0.10,1 : 0.13,1 : 0.06,1 : 0.04,,,,,1 : 0.30,1 : 0.18,1 : 0.13,1 : 0.21,,,,,1 : 0.55,1 : 0.14,1 : 0.09,1 : 0.20,,,,,1 : 0.20,1 : 0.14,1 : 0.06,1 : 0.13,,,,,0.10 : 1,0.03 : 1,신청없음,0.01 : 1,,,,
CHU4016-01,한국사와유교문화,,,,,1 : 0.35,1 : 0.39,1 : 0.10,1 : 0.13,,,,,1 : 0.15,신청없음,1 : 0.02,신청없음,,,,,신청없음,신청없음,1 : 0.05,1 : 0.04,,,,,,,,,,,,,,,,,,,,
CHU4019-01,인물로본일본사,,,,,1 : 0.05,1 : 0.13,1 : 0.06,1 : 0.07,,,,,1 : 0.05,1 : 0.10,1 : 0.18,1 : 0.05,,,,,신청없음,1 : 0.05,1 : 0.05,1 : 0.05,1 : 0.01,1 : 0.15,1 : 0.03,1 : 0.11,,,,,신청없음,0.03 : 1,0.24 : 1,0.35 : 1,,,,,신청없음,0.05 : 1,0.03 : 1,0.05 : 1
COM2003-01,매스커뮤니케이션 캡스톤디자인,,,,,1 : 4.30,1 : 0.55,1 : 0.42,1 : 0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3107-01,정치커뮤니케이션,,,,,쿼터없음,1 : 0.45,1 : 0.29,1 : 0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3109-01,과학.환경.위험커뮤니케이션,,,,,쿼터없음,1 : 0.20,1 : 0.11,1 : 0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3121-01,영상문화와사회,,,,,쿼터없음,1 : 0.93,1 : 1.09,1 : 0.90,,,,,,,,,쿼터없음,1 : 1.20,1 : 1.55,1 : 0.60,,,,,,,,,,,,,,,,,,,,,,,,
COM3128-01,라디오제작(팟캐스팅 및 컨텐츠기획),,,,,쿼터없음,1 : 1.10,1 : 1.70,1 : 1.40,,,,,쿼터없음,1 : 0.90,1 : 1.00,1 : 0.90,,,,,1 : 0.10,1 : 0.37,1 : 0.91,1 : 1.92,,,,,,,,,,,,,,,,,,,,
COM3129-01,매스컴연구,,,,,쿼터없음,쿼터없음,1 : 0.73,1 : 0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3137-01,저널리즘과사회이슈,,,,,쿼터없음,쿼터없음,1 : 0.65,1 : 0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3204-01,광고와소비자심리,,,,,1 : 1.00,1 : 3.00,1 : 0.80,1 : 0.79,,,,,,,,,1 : 0.13,1 : 0.40,1 : 1.31,1 : 0.85,,,,,,,,,,,,,,,,,,,,,,,,
COM3206-01,통합마케팅커뮤니케이션론캡스톤디자인,,,,,신청없음,1 : 0.08,1 : 0.19,1 : 0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3207-01,마케팅PR,,,,,쿼터없음,1 : 0.40,1 : 0.14,1 : 0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3216-01,쟁점및위기커뮤니케이션,,,,,쿼터없음,1 : 0.15,1 : 0.30,1 : 0.31,,,,,쿼터없음,쿼터없음,1 : 0.40,1 : 0.22,,,,,신청없음,1 : 0.55,1 : 0.47,1 : 0.70,,,,,,,,,,,,,,,,,,,,
COM3218-01,PR 캡스톤디자인,,,,,쿼터없음,1 : 0.20,1 : 0.07,1 : 0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3305-01,작품분석과해석,,,,,1 : 0.50,1 : 1.93,1 : 0.70,1 : 0.31,,,,,1 : 0.40,1 : 2.44,1 : 0.70,1 : 0.18,,,,,1 : 0.10,1 : 2.47,1 : 3.30,1 : 1.90,,,,,,,,,,,,,,,,,,,,
COM3307-01,공연의미학과이론,,,,,쿼터없음,1 : 0.70,1 : 0.22,1 : 0.03,,,,,1 : 0.05,1 : 0.44,1 : 0.57,1 : 0.32,,,,,신청없음,1 : 0.40,1 : 0.43,1 : 0.31,,,,,,,,,,,,,,,,,,,,
COM3313-01,단막극연출,,,,,쿼터없음,1 : 1.50,1 : 0.80,1 : 1.00,,,,,쿼터없음,1 : 1.17,1 : 3.00,1 : 2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3314-01,단편영화제작,,,,,쿼터없음,1 : 0.70,1 : 0.38,1 : 0.44,,,,,쿼터없음,1 : 2.60,1 : 1.50,1 : 1.00,,,,,쿼터없음,1 : 4.20,1 : 2.90,1 : 2.80,,,,,,,,,,,,,,,,,,,,
COM3316-01,대본창작의워크샵,,,,,쿼터없음,1 : 1.10,1 : 2.40,1 : 3.60,,,,,쿼터없음,1 : 1.67,1 : 1.44,1 : 3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3333-01,뮤지컬창작심화(캡스톤디자인),,,,,쿼터없음,1 : 0.90,1 : 1.55,1 : 1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM3404-01,텔레커뮤니케이션론,,,,,쿼터없음,1 : 0.70,1 : 0.19,1 : 0.15,,,,,1 : 0.03,1 : 0.19,1 : 0.13,1 : 0.04,,,,,쿼터없음,1 : 1.20,1 : 0.90,1 : 0.48,,,,,,,,,,,,,,,,,,,,
COM3435-01,가상현실콘텐츠기획제작,,,,,쿼터없음,1 : 1.00,1 : 0.40,1 : 0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COR1001-01,읽기와쓰기,,,,,1 : 0.74,1 : 0.36,신청없음,신청없음,1 : 0.06,1 : 0.50,1 : 0.33,1 : 0.67,1 : 1.20,1 : 2.50,1 : 1.00,신청없음,1 : 0.08,신청없음,1 : 0.25,신청없음,1 : 1.17,1 : 4.50,1 : 1.00,1 : 1.00,,,,,,,,,,,,,,,,,,,,
COR1001-07,읽기와쓰기,,,,,1 : 0.83,1 : 0.25,신청없음,신청없음,1 : 0.03,1 : 0.50,신청없음,신청없음,1 : 1.57,1 : 2.00,신청없음,1 : 0.33,1 : 0.03,1 : 1.00,1 : 0.50,신청없음,1 : 0.23,1 : 0.24,1 : 0.10,1 : 0.10,,,,,,,,,,,,,,,,,,,,
COR1001-13,읽기와쓰기,,,,,1 : 0.09,1 : 0.09,신청없음,신청없음,1 : 0.03,신청없음,신청없음,신청없음,1 : 1.54,1 : 3.50,1 : 0.50,신청없음,1 : 0.03,1 : 1.50,신청없음,신청없음,1 : 1.30,1 : 4.00,신청없음,1 : 0.33,,,,,,,,,,,,,,,,,,,,
COR1001-20,읽기와쓰기,,,,,1 : 1.23,1 : 0.50,신청없음,신청없음,1 : 0.03,1 : 1.00,신청없음,신청없음,1 : 0.60,1 : 0.10,신청없음,신청없음,1 : 0.03,1 : 0.50,신청없음,신청없음,1 : 1.07,1 : 1.20,1 : 0.33,1 : 0.25,,,,,,,,,,,,,,,,,,,,
COR1003-20,글로벌의사소통I,,,,,1 : 0.68,1 : 0.13,신청없음,신청없음,1 : 0.08,신청없음,신청없음,1 : 0.25,1 : 0.23,신청없음,신청없음,신청없음,1 : 0.27,신청없음,신청없음,신청없음,1 : 0.45,1 : 0.08,1 : 0.08,1 : 0.07,,,,,,,,,,,,,,,,,,,,
COR1009-05,컴퓨팅사고력,,,,,1 : 0.88,쿼터없음,쿼터없음,쿼터없음,1 : 0.20,쿼터없음,쿼터없음,쿼터없음,1 : 0.73,쿼터없음,쿼터없음,쿼터없음,1 : 0.02,쿼터없음,쿼터없음,쿼터없음,1 : 0.47,1 : 0.29,쿼터없음,쿼터없음,1 : 0.15,쿼터없음,쿼터없음,쿼터없음,1 : 1.16,1 : 0.50,1 : 3.00,쿼터없음,0.22 : 1,2.50 : 1,1.00 : 1,2.00 : 1,0.36 : 1,0.12 : 1,0.06 : 1,신청없음,0.24 : 1,0.71 : 1,0.60 : 1,1.14 : 1
COR1009-06,컴퓨팅사고력,,,,,1 : 0.21,쿼터없음,쿼터없음,쿼터없음,1 : 0.25,쿼터없음,쿼터없음,쿼터없음,1 : 0.23,쿼터없음,쿼터없음,쿼터없음,1 : 0.02,쿼터없음,쿼터없음,쿼터없음,1 : 0.11,1 : 0.04,쿼터없음,쿼터없음,1 : 0.17,1 : 0.90,쿼터없음,쿼터없음,1 : 2.54,1 : 7.00,1 : 3.00,쿼터없음,0.02 : 1,3.50 : 1,0.50 : 1,2.50 : 1,0.24 : 1,0.07 : 1,0.02 : 1,0.02 : 1,신청없음,신청없음,신청없음,0.09 : 1
CSE2035-01,C프로그래밍,,,,,1 : 0.50,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 1.15,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 1.83,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 1.14,쿼터없음,쿼터없음,쿼터없음,,,,,0.70 : 1,쿼터없음,쿼터없음,쿼터없음,,,,
CSE2035-02,C프로그래밍,,,,,1 : 0.25,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.58,쿼터없음,쿼터없음,쿼터없음,,,,,신청없음,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.19,쿼터없음,쿼터없음,쿼터없음,,,,,0.58 : 1,쿼터없음,쿼터없음,쿼터없음,,,,
CSE2035-03,C프로그래밍,,,,,1 : 0.55,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.38,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.55,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.65,쿼터없음,쿼터없음,쿼터없음,,,,,0.90 : 1,쿼터없음,쿼터없음,쿼터없음,,,,
CSE3006-01,이산구조,,,,,1 : 0.48,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.32,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.38,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.58,쿼터없음,쿼터없음,쿼터없음,,,,,0.80 : 1,쿼터없음,쿼터없음,쿼터없음,,,,
CSE3006-02,이산구조,,,,,1 : 0.48,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.43,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.50,쿼터없음,쿼터없음,쿼터없음,,,,,1 : 0.63,쿼터없음,쿼터없음,쿼터없음,,,,,0.58 : 1,쿼터없음,쿼터없음,쿼터없음,,,,
CSE3015-01,디지탈회로개론,,,,,쿼터없음,1 : 0.55,쿼터없음,쿼터없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSE3015-02,디지탈회로개론,,,,,쿼터없음,1 : 0.72,쿼터없음,쿼터없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSE3016-02,컴퓨터공학실험II,,,,,쿼터없음,1 : 0.30,쿼터없음,쿼터없음,,,,,쿼터없음,1 : 0.50,쿼터없음,쿼터없음,,,,,쿼터없음,1 : 0.57,쿼터없음,쿼터없음,,,,,쿼터없음,1 : 0.28,쿼터없음,쿼터없음,,,,,쿼터없음,1.25 : 1,쿼터없음,쿼터없음,,,,
CSE3016-03,컴퓨터공학실험II,,,,,쿼터없음,1 : 1.10,쿼터없음,쿼터없음,,,,,쿼터없음,1 : 1.00,쿼터없음,쿼터없음,,,,,쿼터없음,1 : 1.09,쿼터없음,쿼터없음,,,,,쿼터없음,1 : 1.96,쿼터없음,쿼터없음,,,,,쿼터없음,0.11 : 1,쿼터없음,쿼터없음,,,,
CSE3016-04,컴퓨터공학실험II,,,,,쿼터없음,1 : 0.50,쿼터없음,쿼터없음,,,,,쿼터없음,1 : 0.55,쿼터없음,쿼터없음,,,,,쿼터없음,1 : 0.43,쿼터없음,쿼터없음,,,,,쿼터없음,1 : 0.56,쿼터없음,쿼터없음,,,,,쿼터없음,1.32 : 1,쿼터없음,쿼터없음,,,,
