과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
TLS1004-03,글로벌의사소통II,"Willers, Arthur Gregory",3,"화,목 10:30~11:45 [J327]",1학년,,44,"영어강의, 공학인증, 구 영어II의 대체과목"
TLS1004-04,글로벌의사소통II,"Kim, Jae Pil",3,"월,수 12:00~13:15 [J315]",1학년,,27,"영어강의, 공학인증, 구 영어II의 대체과목"
TLS1004-05,글로벌의사소통II,"Barnard,Stephen John",3,"화,목 13:30~14:45 [J323]",1학년,,27,"영어강의, 공학인증, 구 영어II의 대체과목"
TLS1004-06,글로벌의사소통II,"Willers, Arthur Gregory",3,"수,금 13:30~14:45 [J204]",1학년,,30,"영어강의, 공학인증, 구 영어II의 대체과목"
TLS1004-07,글로벌의사소통II,"Thigpen, Byron Douglas",3,"수,금 13:30~14:45 [D506]",1학년,,27,"영어강의, 공학인증, 구 영어II의 대체과목"
TLS1004-09,글로벌의사소통II,"Thigpen, Byron Douglas",3,"수,금 15:00~16:15 [D506]",1학년,,23,"영어강의, 공학인증, 구 영어II의 대체과목"
TLS1004-10,글로벌의사소통II,"Barnard,Stephen John",3,"수,금 15:00~16:15 [J325]",1학년,,16,"영어강의, 공학인증, 구 영어II의 대체과목"
TLS1005-01,영어읽기와토론연습,"Willers, Arthur Gregory",3,"화,목 13:30~14:45 [J202]",1학년,,28,영어강의
TLS1005-02,영어읽기와토론연습,"Willers, Arthur Gregory",3,"수,금 15:00~16:15 [J219]",1학년,,15,영어강의
TLS1006-01,실용영어와발표연습,"Ellis, Jason Edward",3,"월,수 12:00~13:15 [J202]",1학년,,17,영어강의
TLS1006-02,실용영어와발표연습,"Ellis, Jason Edward",3,"화,목 16:30~17:45 [J202]",1학년,,16,영어강의
ZKAP001-01,학문을위한한국어 I,김도희,3,"월,금 16:30~17:45 [AR905]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP001-02,학문을위한한국어 I,김도희,3,"수,금 13:30~14:45 [AR905]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP001-03,학문을위한한국어 I,김도희,3,"수,금 15:00~16:15 [AR905]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP001-04,학문을위한한국어 I,김은정,3,"화,금 13:30~14:45 [AR807]",1-4학년,,1,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP001-05,학문을위한한국어 I,김은정,3,"화,금 15:00~16:15 [AR803]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP001-06,학문을위한한국어 I,김은정,3,"화,목 16:30~17:45 [AR803]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP001-07,학문을위한한국어 I,김지은,3,"화,금 13:30~14:45 [AR806]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP001-08,학문을위한한국어 I,김지은,3,"화,금 15:00~16:15 [AR806]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP001-09,학문을위한한국어 I,김지은,3,"월,금 16:30~17:45 [AR806]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP001-10,학문을위한한국어 I,김지은,3,"수,금 13:30~14:45 [AR804]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP001-11,학문을위한한국어 I,김지은,3,"화,금 13:30~14:45 [AR804]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
