과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
CBE2002-03,창의설계,하경수,3,월 13:30~16:15 [K304],1학년,,25,영어강의
MEE4021-01,창의적종합설계,김동철,3,화 16:30~19:15 [AS412],4학년,,15,"영어강의, 구) 창의적공학설계"
CBE2006-01,응용생물학,최정우,3,"월,수 16:30~17:45 [R404]",1학년,,72,"홀짝구분, 생명과학전공 학생 수강불가, (구)42-032,2010학번부터(비인증대상) 전공과목 인정안됨"
CBE2006-02,응용생물학,이지영,3,"월,수 16:30~17:45 [RA406B]",1학년,,25,"홀짝구분, 생명과학전공 학생 수강불가, (구)42-032,2010학번부터(비인증대상) 전공과목 인정안됨"
CBE2007-01,응용생화학,오병근,3,"화,목 13:30~14:45 [K401]",2학년,,82,"홀짝구분, 홀수학번만수강"
CBE2007-02,응용생화학,나정걸,3,"화,목 16:30~17:45 [K307]",2학년,,38,"홀짝구분, 짝수학번만수강"
CBE2009-01,화공생명공학기초실험II,문준혁,3,수 16:30~22:15 [R407],2학년,,39,
CBE2009-02,화공생명공학기초실험II,나정걸,3,수 16:30~22:15 [R407],2학년,,12,
CBE2009-03,화공생명공학기초실험II,김현철,3,수 16:30~22:15 [R407],2학년,,16,
CBE2009-04,화공생명공학기초실험II,김충익,3,수 16:30~22:15 [R407],2학년,,23,
CBE2012-01,화공수학II,최진훈,3,"화,목 12:00~13:15 [AS301]",1-4학년,,65,"영어강의, 홀짝구분, 홀수학번만수강, 선수과목 : 미적분학II, 화공수학I(화공전공자만 수강가능)"
CBE2012-02,화공수학II,이종석,3,"수,금 15:00~16:15 [AS301]",1-4학년,,46,"영어강의, 홀짝구분, 짝수학번만수강, 선수과목 : 미적분학II, 화공수학I(화공전공자만 수강가능)"
CBE3001-01,화공열역학,하경수,3,"수,금 09:00~10:15 [AS414]",2학년,,93,
CBE3005-01,열및물질전달,강태욱,3,"화,목 10:30~11:45 [K401]",3학년,,38,"영어강의, 홀짝구분, 홀수학번만수강"
CBE3005-02,열및물질전달,김정욱,3,"화,목 15:00~16:15 [AS510]",3학년,,52,"홀짝구분, 짝수학번만수강"
CBE3006-01,공정제어,이광순,3,"수,금 09:00~10:15 [K305]",3학년,,43,
CBE3010-01,양자화학,박흥목,3,"화,목 10:30~11:45 [AS311]",3학년,,15,
CBE3012-01,화공수학III,최진훈,3,"화,목 15:00~16:15 [AS412]",3-4학년,,23,"영어강의, 화공생명공학전공 학생만 수강 가능"
CBE3014-01,유전공학,김현철,3,"수,금 13:30~14:45 [AS305]",3학년,,21,"영어강의, (생명과학전공 학생 수강 불가)"
CBE3016-01,화공생명공학요소실험II,이광순,3,금 16:30~22:15 [R405],3학년,,29,
CBE3016-02,화공생명공학요소실험II,최정우,3,금 16:30~22:15 [R405],3학년,,13,
CBE3016-03,화공생명공학요소실험II,오세용,3,금 16:30~22:15 [R405],3학년,,18,
CBE3016-04,화공생명공학요소실험II,최진훈,3,금 16:30~22:15 [R405],3학년,,17,
CBE4001-01,화공생명공학심화종합설계,오병근,3,목 18:00~20:45 [K307],4학년,,19,"홀짝구분, 홀수학번만수강, 구 화공생명공학심화설계"
CBE4001-02,화공생명공학심화종합설계,강태욱,3,목 18:00~20:45 [K306],4학년,,19,"홀짝구분, 짝수학번만수강, 구 화공생명공학심화설계"
CBE4005-01,촉매공학,하경수,3,"수,금 15:00~16:15 [R404]",3학년,,52,영어강의
CBE4007-01,공정공학,최진훈,3,"화,목 16:30~17:45 [AS311]",4학년,,14,"영어강의, (구)공정설계"
CBE4017-01,화공생명공학공정실험,구기갑,3,월 16:30~22:15 [R403],4학년,,6,
CBE4008-01,반도체공정,문준혁,3,"화,목 13:30~14:45 [AS414]",3-4학년,,86,영어강의
CBE4010-01,화공재료,구기갑,3,"월,수 10:30~11:45 [AS305]",3-4학년,,11,
CBE4018-01,산업미생물공학,나정걸,3,"화,목 09:00~10:15 [AS305]",1-4학년,,14,영어강의
CBE4019-01,기능성고분자화학,오세용,3,"화,목 12:00~13:15 [K306]",3-4학년,,16,
CBE4020-01,에너지공학,김충익,3,"수,금 13:30~14:45 [RA410]",3-4학년,,58,영어강의
CBE4020-02,에너지공학,김충익,3,금 10:30~13:15 [RA410],3-4학년,,12,영어강의
CBE4021-01,나노기술의이해,김충익,3,"월,수 10:30~11:45 [AS510]",1-4학년,,43,"영어강의, 화공생명공학전공 학부 2학년생만 수강 가능"
REL2001-01,종교의이해,박병관,3,"화,목 15:00~16:15 [J110]",1-4학년,,14,전공필수
REL3004-01,중국종교의이해,정소이,3,"화,목 13:30~14:45 [J217]",1-2학년,,14,영어강의
REL3032-01,한국신종교의이해,김재영,3,"월,수 10:30~11:45 [J217]",1-4학년,,4,영어강의
REL2010-01,종교학답사I,서명원,1,,1-4학년,,0,
REL3006-01,고대근동의종교,주원준,3,금 10:30~13:15 [J104],1-4학년,,18,
REL3010-01,현대사회와이슬람교,박현도,3,월 13:30~16:15 [J317],1-4학년,,22,
REL3021-01,도교강독,최수빈,3,"월,수 12:00~13:15 [J325]",1-4학년,,12,
REL3033-01,한국무교의이해,김동규,3,금 10:30~13:15 [J114],2-4학년,,7,
REL3035-01,불교와그리스도교의만남,서명원,3,"화,목 12:00~13:15 [J106]",1-4학년,,16,"영어강의, 구)선불교입문"
REL3039-01,종교간의대화,오지섭,3,"수,금 15:00~16:15 [J209]",1-4학년,,8,
REL3043-01,수양과명상,서명원,3,"화,목 09:00~10:15",1-4학년,,27,"영어강의, 체육관방음실(Soundproof room, Gymnasium 3rd floor), 체육관방음실"
SOC2001-01,사회학개론,김영수,3,"화,목 12:00~13:15 [D502]",1-4학년,,49,
SOC2001-02,사회학개론,정호대,3,"수,금 09:00~10:15 [D401A]",1-4학년,,8,
SOC2001-03,사회학개론,민병교,3,"월,수 10:30~11:45 [D209A]",1-4학년,,32,
SOC2004-01,사회통계학,이재혁,3,"화,목 15:00~16:15 [D303B]",1-4학년,,16,
SOCG007-01,사회통계학연습,오세일,3,화 18:30~21:20 [AS107],3-4학년,,6,"영어강의, 승인과목, 학석사연계, 사전승인필요, 학석사공용과목, 담당교수 승인 후 수강 가능"
SOC2007-01,이론과사회:현대에서포스트모던이론까지,김경만,3,"화,목 12:00~13:15 [D504]",1-4학년,,38,
SOC3002-01,문화이론,김봉석,3,"수,금 13:30~14:45 [D412]",2-4학년,,28,
EURG203-01,독일문화이론,김형민,3,화 10:30~13:15 [J909],3-4학년,,12,"Honors과목, (구)GER4003,(구)페미니즘과독일여성문화"
SOC3017-01,예술사회학,김무경,3,"화,목 15:00~16:15 [D504]",1-4학년,,29,
SOC3018-01,일상생활의사회학,김무경,3,"화,목 13:30~14:45 [D504]",1-4학년,,34,
SOC3019-01,교육사회학,전상진,3,"월,수 10:30~11:45 [D402]",2-4학년,,63,
SOC3022-01,경제사회학,김영수,3,"화,목 13:30~14:45 [D502]",1-4학년,,17,
SOC3023-01,환경사회학,차은정,3,"화,목 09:00~10:15 [D401A]",1-4학년,,14,
SOC3028-01,불평등의사회사,이철승,3,"월,수 16:30~17:45 [D406]",1-4학년,,17,
SOC3034-01,국제이주와초국가주의,김우선,3,"화,목 10:30~11:45 [D504]",1-4학년,,18,"영어강의, 구 인류의기원"
SOC3045-01,시대진단의사회학,전상진,3,"월,수 12:00~13:15 [D402]",1-4학년,,47,
SOC3053-01,사회학과기업현장의만남,김영수,3,목 16:30~19:15 [DB101],1-4학년,,56,S/U 과목
SOC4001-01,졸업논문,김우선,3,,4학년,,0,개별지도
SOCG011-01,고급데이터분석,이철승,3,월 13:30~16:15 [D603],2-4학년,,7,학석사연계
CSE2003-01,기초공학설계,박운상,3,"월,수 12:00~13:15 [K512]",1학년,,30,"영어강의, 공학인증, 컴퓨터공학 1전공자만 가능, 컴퓨터 공학 전공자만 수강 가능"
CSE2035-01,C프로그래밍,김지환,3,"수,금 13:30~14:45 [D105]",1학년,,61,"공학인증, 모든 C언어 과목 기수강자, 수강신청자 모두 수강불가, 중핵 C언어(STS2008)기수강자,수강신청자 모두 수강불가"
CSE2035-02,C프로그래밍,김승욱,3,"수,금 09:00~10:15 [R912]",1학년,,17,"공학인증, 모든 C언어 과목 기수강자, 수강신청자 모두 수강불가, 중핵 C언어(STS2008)기수강자,수강신청자 모두 수강불가"
CSE2035-03,C프로그래밍,김세준,3,"화,목 16:30~17:45 [R912]",1학년,,45,"영어강의, 공학인증, 모든 C언어 과목 기수강자, 수강신청자 모두 수강불가, 중핵 C언어(STS2008)기수강자,수강신청자 모두 수강불가"
MEE1005-01,C프로그래밍기초,이재원,3,월 13:30~16:15 [K309],1-2학년,,15,
STS2008-01,고급응용C프로그래밍,서경희,3,"화,목 12:00~13:15 [AS111]",2학년,,41,"(구)C언어[C프로그래밍수강자,컴공전공수강불가], (구)C언어[C프로그래밍수강자,컴공전공수강불가],포트란프로그래밍 대체과목"
STS2008-02,고급응용C프로그래밍,서경희,3,"수,금 13:30~14:45 [AS111]",2학년,,45,"(구)C언어[C프로그래밍수강자,컴공전공수강불가], (구)C언어[C프로그래밍수강자,컴공전공수강불가],포트란프로그래밍 대체과목"
