소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실,권장학년,교수특징,경쟁점수,꿀점수,배움점수
융합소프트웨어,MGT2002-05,경영통계학,정예숙,3,월수,12:00~13:15,MA204,1,없음,2.05,0,0
융합소프트웨어,MGT2002-02,경영통계학,김명석,3,화목,13:30~14:45,MA406,1,귀염,3.383,0,1
융합소프트웨어,MGT2002-03,경영통계학,이윤동,3,수금,15:00~16:15,MA308,1,귀염,2.172,0,1
융합소프트웨어,MGT2002-04,경영통계학,정예숙,3,월수,16:30~17:45,MA308,1,없음,2.05,0,0
융합소프트웨어,MGT2002-05,경영통계학,김범수,3,월수,16:30~17:45,K302,1,없음,1.737,0,0
융합소프트웨어,MGT2002-06,경영통계학,정예숙,3,수금,13:30~14:45,없음,1,없음,2.05,0,0
융합소프트웨어,MGT2002-04,경영통계학,김범수,3,월수,16:30~17:45,없음,1,없음,1.737,0,0
융합소프트웨어,MAT3020-01,통계학입문,임경수,3,월수,10:30~11:45,K303,2,없음,알수없음,0,0
융합소프트웨어,MAT3020-01,통계학입문,임경필,3,화목,09:00~10:15,RA408,2,없음,알수없음,0,0
융합소프트웨어,MAT3020-02,통계학입문,임경필,3,화목,10:30~11:45,RA408,2,없음,알수없음,0,0
융합소프트웨어,MAT3020-01,통계학입문,최정아,3,화목,12:00~13:15,RA308,2,없음,알수없음,0,0
융합소프트웨어,MAT2110-01,선형대수학,김종수,3,화목,10:30~11:45,RA408,2,없음,알수없음,0,0
융합소프트웨어,MAT2110-02,선형대수학,조상현,3,수금,13:30~14:45,K212,2,없음,1.646,1,0
융합소프트웨어,MAT2110-03,선형대수학,조성희,3,화목,13:30~14:45,K307,2,꼰대,알수없음,0,0
융합소프트웨어,MAT2110-04,선형대수학,김순영,3,화목,10:30~11:45,RA410,2,도도천사,알수없음,0,0
융합소프트웨어,MAT2110-05,선형대수학,최미란,3,금,10:30~13:15,RA408,2,천사,알수없음,0,0
융합소프트웨어,MAT2110-01,선형대수학,조상현,3,수금,09:00~10:15,RA308,2,없음,1.646,1,0
융합소프트웨어,MAT2110-02,선형대수학,이영란,3,수금,13:30~14:45,RA308,2,없음,1.337,0,0
융합소프트웨어,MAT2110-03,선형대수학,유지현,3,월,13:30~16:15,RA308,2,도도,알수없음,0,0
융합소프트웨어,MAT2110-02,선형대수학,조성희,3,화목,10:30~11:45,RA406B,2,꼰대,알수없음,0,0
융합소프트웨어,MAT2110-03,선형대수학,Ho,3,화목,09:00~10:15,RA406B,2,없음,알수없음,0,0
융합소프트웨어,MAT2110-04,선형대수학,조성희,3,화목,12:00~13:15,RA406B,2,꼰대,알수없음,0,0
융합소프트웨어,MAT2110-05,선형대수학,한상현,3,화목,13:30~14:45,RA308,2,없음,알수없음,0,0
융합소프트웨어,MAT2110-03,선형대수학,조장현,3,화목,12:00~13:15,없음,2,없음,알수없음,0,0
융합소프트웨어,MAT2110-03,선형대수학,이영란,3,화목,09:00~10:15,없음,2,없음,1.337,0,0
융합소프트웨어,MAT2110-04,선형대수학,Ho,3,월수,12:00~13:15,없음,2,없음,알수없음,0,0
융합소프트웨어,MAT2110-05,선형대수학,옥지훈,3,화목,13:30~14:45,없음,2,없음,알수없음,0,0
융합소프트웨어,MAT3110-01,이산수학,Ho,3,수금,09:00~10:15,K307,34,없음,알수없음,0,0
융합소프트웨어,MAT3110-01,이산수학,오영탁,3,월수,16:30~17:45,RA410,34,없음,알수없음,0,1
융합소프트웨어,ECO2003-01,경제수리기초,이강오,3,화목,09:00~10:15,GN202,1,없음,알수없음,0,0
융합소프트웨어,ECO2003-02,경제수리기초,이강오,3,화목,12:00~13:15,GN202,1,없음,알수없음,0,0
융합소프트웨어,ECO2003-01,경제수리기초,김형욱,3,수금,15:00~16:15,GN201,1,도도,1.343,0,1
융합소프트웨어,ECO2003-03,경제수리기초,이강오,3,화목,13:30~14:45,GN201,1,없음,알수없음,0,0
융합소프트웨어,ECO2003-01,경제수리기초,박경옥,3,수금,09:00~10:15,GN201,1,없음,2.775,1,0
융합소프트웨어,ECO2003-02,경제수리기초,김형욱,3,수금,15:00~16:15,GN201,1,도도,1.343,0,1
융합소프트웨어,ECO2003-01,경제수리기초,김석일,3,월수,16:30~17:45,없음,1,없음,알수없음,0,0
융합소프트웨어,ECO2003-02,경제수리기초,박경옥,3,화목,16:30~17:45,없음,1,없음,2.775,1,0
인공지능,CSW2030-01,자료구조입문,장직현,3,화목,15:00~16:15,K502,24,없음,알수없음,0,0
인공지능,CSW2030-01,자료구조입문,강호석,3,월수,10:30~11:45,없음,24,없음,알수없음,0,0
인공지능,CSE3080-01,자료구조,장형수,3,월수,12:00~13:15,RA204,2,꼰대,알수없음,0,0
인공지능,CSE3080-02,자료구조,정성원,3,화목,12:00~13:15,R404,2,없음,1.304,0,0
인공지능,CSE3080-01,자료구조,김영재,3,월수,10:30~11:45,RA204,2,없음,알수없음,0,0
인공지능,CSE3080-01,자료구조,양지훈,3,월수,12:00~13:15,AS303,2,없음,1.824,0,1
인공지능,CSE3080-03,자료구조,소정민,3,월수,10:30~11:45,AS414,2,도도,알수없음,1,0
인공지능,CSE3080-02,자료구조,양지훈,3,화목,12:00~13:15,없음,2,없음,1.824,0,1
인공지능,EEE2108-01,공학프로그래밍,소재우,3,화목,12:00~13:15,AS109,2,없음,알수없음,0,1
인공지능,EEE2108-02,공학프로그래밍,범진욱,3,월수,10:30~11:45,AS109,2,없음,알수없음,0,0
인공지능,EEE2108-03,공학프로그래밍,소재우,3,수금,13:30~14:45,AS109,2,없음,알수없음,0,1
인공지능,EEE2108-01,공학프로그래밍,범진욱,3,월수,10:30~11:45,없음,2,없음,알수없음,0,0
인공지능,EEE4178-01,인공지능(딥러닝)개론,박형민,3,수금,13:30~14:45,AS301,4,없음,알수없음,0,0
인공지능,EEE1002-01,C언어기초,송태경,3,월수,10:30~11:45,AS111,14,없음,알수없음,0,1
인공지능,EEE1002-02,C언어기초,이행선,3,수금,13:30~14:45,AS111,14,없음,알수없음,0,0
인공지능,EEE1002-03,C언어기초,소재우,3,화목,10:30~11:45,AS109,14,없음,알수없음,0,1
인공지능,EEE1002-04,C언어기초,강석주,3,화목,09:00~10:15,AS109,14,없음,알수없음,0,0
인공지능,EEE1002-02,C언어기초,소재우,3,화목,10:30~11:45,없음,14,없음,알수없음,0,1
인공지능,EEE1002-03,C언어기초,강석주,3,화목,12:00~13:15,없음,14,없음,알수없음,0,0
인공지능,EEE1002-04,C언어기초,김홍석,3,수금,09:00~10:15,없음,14,없음,알수없음,0,0
인공지능,EEE3154-01,확률및랜덤변수,김영록,3,화목,10:30~11:45,없음,3,없음,알수없음,0,0
인공지능,EEE3154-02,확률및랜덤변수,김영록,3,화목,09:00~10:15,없음,3,없음,알수없음,0,0
인공지능,CSW3010-01,알고리즘입문,장직현,3,화목,15:00~16:15,K303,24,없음,알수없음,0,0
인공지능,CSW3010-01,알고리즘입문,임종석,3,화목,15:00~16:15,없음,24,귀염꼰대도도,알수없음,0,0
인공지능,CSW3030-01,데이터베이스입문,박석,3,월수,16:30~17:45,K502,24,없음,알수없음,0,0
인공지능,BDS3010-01,빅데이터컴퓨팅,박수진,3,화목,13:30~14:45,K208,34,없음,알수없음,1,1
