소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실_x,권장학년,교수특징,경쟁점수,꿀점수,배움점수
물리학전공,PHY1001-05,일반물리I,김현정,3,[화목],12:00~13:15,RA406B,['1'],"['열정러', '엔젤', '월급루팡']",,11.18,11.4
물리학전공,PHY1001-06,일반물리I,손원민,3,[화목],13:30~14:45,AS510,['1'],[],1.1448239436619718,13.900000000000002,5.040000000000003
물리학전공,PHY1001-07,일반물리I,Scopel Stefano,3,[화목],15:00~16:15,RA204,['1'],[],1.484354054054054,11.599399999999996,13.082555555555553
물리학전공,PHY1001-08,일반물리I,정현식,3,[수금],09:00~10:15,RA406B,['1'],[],1.65425,11.207377777777774,15.512444444444444
물리학전공,PHY1001-09,일반물리I,장준익,3,[수금],13:30~14:45,RA406B,['1'],[],1.026176056338028,7.390526315789473,5.85
물리학전공,PHY1001-10,일반물리I,정명화,3,[수금],15:00~16:15,RA406B,['1'],[],2.4377671232876708,11.155714285714287,12.142857142857142
물리학전공,PHY1101-01,일반물리실험I,김도석,1,[월],13:30~15:20,R103,['1'],['카리스마'],1.4065315789473685,0.10494545454545516,9.587454545454547
물리학전공,PHY1101-02,일반물리실험I,박정혁,1,[월],13:30~15:20,R107,['1'],[],,9.09,13.65
물리학전공,PHY1101-03,일반물리실험I,박정혁,1,[월],15:30~17:20,R103,['1'],[],,9.09,13.65
물리학전공,PHY1101-04,일반물리실험I,이범훈,1,[월],15:30~17:20,R107,['1'],[],1.4140350877192984,,
물리학전공,PHY1101-05,일반물리실험I,Scopel Stefano,1,[월],17:30~19:20,R103,['1'],[],1.5690315789473683,7.290000000000001,13.3
물리학전공,PHY1101-06,일반물리실험I,임채호,1,[월],17:30~19:20,R107,['1'],[],,7.54,12.0
물리학전공,PHY1101-07,일반물리실험I,김도석,1,[화],13:30~15:20,R103,['1'],['카리스마'],1.4065315789473685,0.10494545454545516,9.587454545454547
물리학전공,PHY1101-08,일반물리실험I,이기진,1,[화],13:30~15:20,R107,['1'],[],1.37592,9.0504,6.831999999999997
물리학전공,PHY1101-09,일반물리실험I,이기진,1,[화],15:30~17:20,R103,['1'],[],1.37592,9.0504,6.831999999999997
물리학전공,PHY1101-10,일반물리실험I,이현철,1,[화],15:30~17:20,R107,['1'],[],,12.325,15.975
물리학전공,PHY1101-11,일반물리실험I,Scopel Stefano,1,[화],17:30~19:20,R103,['1'],[],1.5690315789473683,7.290000000000001,13.3
물리학전공,PHY1101-12,일반물리실험I,정현식,1,[화],17:30~19:20,R107,['1'],[],,2.4033333333333333,10.733333333333333
물리학전공,PHY1101-13,일반물리실험I,김도석,1,[수],13:30~15:20,R103,['1'],['카리스마'],1.4065315789473685,0.10494545454545516,9.587454545454547
물리학전공,PHY1101-14,일반물리실험I,이기진,1,[수],13:30~15:20,R107,['1'],[],1.37592,9.0504,6.831999999999997
물리학전공,PHY1101-15,일반물리실험I,박정혁,1,[수],15:30~17:20,R103,['1'],[],,9.09,13.65
물리학전공,PHY1101-16,일반물리실험I,임채호,1,[수],15:30~17:20,R107,['1'],[],,7.54,12.0
물리학전공,PHY1101-17,일반물리실험I,Scopel Stefano,1,[수],17:30~19:20,R103,['1'],[],1.5690315789473683,7.290000000000001,13.3
물리학전공,PHY1101-18,일반물리실험I,정명화,1,[수],17:30~19:20,R107,['1'],[],1.8163888888888888,7.416466666666666,10.829
물리학전공,PHY1101-19,일반물리실험I,김원태,1,[목],13:30~15:20,R103,['1'],[],,7.553333333333333,11.5
물리학전공,PHY1101-20,일반물리실험I,이범훈,1,[목],13:30~15:20,R107,['1'],[],1.4140350877192984,,
물리학전공,PHY1101-21,일반물리실험I,손원민,1,[목],15:30~17:20,R103,['1'],[],3.3080425925925927,10.983233333333335,8.429499999999999
물리학전공,PHY1101-22,일반물리실험I,임채호,1,[목],15:30~17:20,R107,['1'],[],,7.54,12.0
물리학전공,PHY1101-23,일반물리실험I,김원태,1,[목],17:30~19:20,R103,['1'],[],,7.553333333333333,11.5
물리학전공,PHY1101-24,일반물리실험I,조규만,1,[목],17:30~19:20,R107,['1'],[],,8.32,13.2
물리학전공,PHY1101-25,일반물리실험I,손원민,1,[금],13:30~15:20,R103,['1'],[],3.3080425925925927,10.983233333333335,8.429499999999999
물리학전공,PHY1101-26,일반물리실험I,이범훈,1,[금],13:30~15:20,R107,['1'],[],1.4140350877192984,,
물리학전공,PHY1101-27,일반물리실험I,손원민,1,[금],15:30~17:20,R103,['1'],[],3.3080425925925927,10.983233333333335,8.429499999999999
물리학전공,PHY1101-28,일반물리실험I,이현철,1,[금],15:30~17:20,R107,['1'],[],,12.325,15.975
물리학전공,PHY1101-29,일반물리실험I,김원태,1,[금],17:30~19:20,R103,['1'],[],,7.553333333333333,11.5
물리학전공,PHY1101-30,일반물리실험I,이현철,1,[금],17:30~19:20,R107,['1'],[],,12.325,15.975
물리학전공,PHY2001-01,역학I,김현정,3,[화목],10:30~11:45,RA310,['2'],"['열정러', '엔젤', '월급루팡']",,13.733333333333334,7.283333333333332
기계공학전공,MEE2022-01,열역학I,정시영,3,[화목],10:30~11:45,K504,['2'],[],1.196246551724138,10.851328571428573,10.79807142857143
기계공학전공,MEE2022-02,열역학I,김대중,3,[화목],15:00~16:15,K401,['2'],[],2.03,7.586166666666666,6.760833333333332
