소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실,권장학년,교수특징,경쟁점수,꿀점수,배움점수
물리학,PHY1102-08,일반물리실험2,손원민,1,화,15:30~17:20,R107,1,없음,알수없음,0,0
물리학,PHY1102-09,일반물리실험2,이범훈,1,수,13:30~15:20,R103,1,없음,알수없음,0,0
물리학,PHY1102-10,일반물리실험2,김원태,1,수,13:30~15:20,R107,1,없음,알수없음,0,1
물리학,PHY1102-11,일반물리실험2,이범훈,1,수,15:30~17:20,R103,1,없음,알수없음,0,0
물리학,PHY1102-12,일반물리실험2,김원태,1,수,15:30~17:20,R107,1,없음,알수없음,0,1
물리학,PHY1102-13,일반물리실험2,김도석,1,목,13:30~15:20,R103,1,없음,알수없음,0,0
물리학,PHY1102-14,일반물리실험2,이기진,1,목,13:30~15:20,R107,1,없음,알수없음,0,0
물리학,PHY1102-15,일반물리실험2,김도석,1,목,15:30~17:20,R103,1,없음,알수없음,0,0
물리학,PHY1102-16,일반물리실험2,양상모,1,목,15:30~17:20,R107,1,없음,알수없음,0,0
물리학,PHY1102-17,일반물리실험2,이현철,1,금,13:30~15:20,R103,1,없음,알수없음,0,0
물리학,PHY1102-19,일반물리실험2,이현철,1,금,15:30~17:20,R103,1,없음,알수없음,0,0
물리학,PHY2003-01,전자기학1,양상모,3,수금,13:30~14:45,없음,2,없음,알수없음,1,1
물리학,PHY2004-01,전자기학2,김원태,3,화목,13:30~14:45,K302,2,없음,알수없음,0,0
물리학,PHY2006-01,수리물리학2,이현철,3,월수,12:00~13:15,J118,2,없음,알수없음,0,0
물리학,PHY2009-01,현대물리학,유효빈,3,월수,10:30~11:45,없음,2,없음,알수없음,0,0
물리학,PHY2102-02,실험물리학2,정명화,2,수,15:00~18:50,R110,2,없음,알수없음,0,0
물리학,PHY2102-03,실험물리학2,장준익,2,목,15:00~18:50,R110,2,없음,알수없음,0,0
물리학,PHY2102-04,실험물리학2,정명화,2,금,15:00~18:50,R110,2,없음,알수없음,0,0
물리학,PHY3002-01,양자물리학2,김도석,3,월수,12:00~13:15,K302,3,없음,알수없음,0,0
물리학,PHY3004-01,통계물리학,장준익,3,수금,09:00~10:15,없음,3,없음,알수없음,0,1
물리학,PHY3102-02,실험물리학4,유효빈,2,수,15:00~18:50,R108,3,없음,알수없음,0,0
